,Total households
"Herricks CDP, New York: Summary level: 160, state:36> place:34198",1297
"Herrings village, New York: Summary level: 160, state:36> place:34220",29
"Heuvelton village, New York: Summary level: 160, state:36> place:34264",275
"Hewlett CDP, New York: Summary level: 160, state:36> place:34286",2316
"Hewlett Bay Park village, New York: Summary level: 160, state:36> place:34297",145
"Hewlett Harbor village, New York: Summary level: 160, state:36> place:34308",397
"Hewlett Neck village, New York: Summary level: 160, state:36> place:34319",131
"Hicksville CDP, New York: Summary level: 160, state:36> place:34374",13426
"High Falls CDP, New York: Summary level: 160, state:36> place:34451",340
"Highland CDP, New York: Summary level: 160, state:36> place:34484",2308
"Highland Falls village, New York: Summary level: 160, state:36> place:34495",1718
"Hillburn village, New York: Summary level: 160, state:36> place:34660",280
"Hillcrest CDP, New York: Summary level: 160, state:36> place:34693",2004
"Hillside CDP, New York: Summary level: 160, state:36> place:34786",293
"Hillside Lake CDP, New York: Summary level: 160, state:36> place:34803",366
"Hilton village, New York: Summary level: 160, state:36> place:34847",2248
"Hobart village, New York: Summary level: 160, state:36> place:34979",203
"Holbrook CDP, New York: Summary level: 160, state:36> place:35056",9215
"Holland CDP, New York: Summary level: 160, state:36> place:35111",456
"Holland Patent village, New York: Summary level: 160, state:36> place:35144",154
"Holley village, New York: Summary level: 160, state:36> place:35155",880
"Holtsville CDP, New York: Summary level: 160, state:36> place:35254",6610
"Homer village, New York: Summary level: 160, state:36> place:35276",1339
"Honeoye CDP, New York: Summary level: 160, state:36> place:35353",250
"Honeoye Falls village, New York: Summary level: 160, state:36> place:35364",1198
"Hoosick Falls village, New York: Summary level: 160, state:36> place:35474",1326
"Hopewell Junction CDP, New York: Summary level: 160, state:36> place:35573",195
"Hornell city, New York: Summary level: 160, state:36> place:35672",3637
"Horseheads village, New York: Summary level: 160, state:36> place:35694",3059
"Horseheads North CDP, New York: Summary level: 160, state:36> place:35710",1159
"Hortonville CDP, New York: Summary level: 160, state:36> place:35738",67
"Houghton CDP, New York: Summary level: 160, state:36> place:35771",278
"Hudson city, New York: Summary level: 160, state:36> place:35969",2937
"Hudson Falls village, New York: Summary level: 160, state:36> place:35980",2987
"Hunt CDP, New York: Summary level: 160, state:36> place:36156",26
"Hunter village, New York: Summary level: 160, state:36> place:36167",218
"Huntington CDP, New York: Summary level: 160, state:36> place:36233",7051
"Huntington Bay village, New York: Summary level: 160, state:36> place:37022",569
"Huntington Station CDP, New York: Summary level: 160, state:36> place:37044",10390
"Hurley CDP, New York: Summary level: 160, state:36> place:37132",1378
"Hyde Park CDP, New York: Summary level: 160, state:36> place:37198",853
"Ilion village, New York: Summary level: 160, state:36> place:37275",3396
"Interlaken village, New York: Summary level: 160, state:36> place:37528",256
"Inwood CDP, New York: Summary level: 160, state:36> place:37583",2977
"Irondequoit CDP, New York: Summary level: 160, state:36> place:37737",22076
"Irvington village, New York: Summary level: 160, state:36> place:37803",2609
"Islandia village, New York: Summary level: 160, state:36> place:37840",1005
"Island Park village, New York: Summary level: 160, state:36> place:37847",1691
"Islip CDP, New York: Summary level: 160, state:36> place:37869",6334
"Islip Terrace CDP, New York: Summary level: 160, state:36> place:38022",1744
"Ithaca city, New York: Summary level: 160, state:36> place:38077",9944
"Jamesport CDP, New York: Summary level: 160, state:36> place:38253",549
"Jamestown city, New York: Summary level: 160, state:36> place:38264",13351
"Jamestown West CDP, New York: Summary level: 160, state:36> place:38275",914
"Jefferson Heights CDP, New York: Summary level: 160, state:36> place:38451",379
"Jefferson Valley-Yorktown CDP, New York: Summary level: 160, state:36> place:38500",5296
"Jeffersonville village, New York: Summary level: 160, state:36> place:38506",123
"Jericho CDP, New York: Summary level: 160, state:36> place:38539",4566
"Johnson City village, New York: Summary level: 160, state:36> place:38748",6490
"Johnstown city, New York: Summary level: 160, state:36> place:38781",3763
"Jordan village, New York: Summary level: 160, state:36> place:38825",494
"Kaser village, New York: Summary level: 160, state:36> place:38934",964
"Katonah CDP, New York: Summary level: 160, state:36> place:38946",604
"Keeseville village, New York: Summary level: 160, state:36> place:39089",810
"Kenmore village, New York: Summary level: 160, state:36> place:39232",6890
"Kennedy CDP, New York: Summary level: 160, state:36> place:39243",184
"Kensington village, New York: Summary level: 160, state:36> place:39309",397
"Kerhonkson CDP, New York: Summary level: 160, state:36> place:39397",673
"Keuka Park CDP, New York: Summary level: 160, state:36> place:39463",77
"Kinderhook village, New York: Summary level: 160, state:36> place:39562",571
"Kings Park CDP, New York: Summary level: 160, state:36> place:39672",6128
"Kings Point village, New York: Summary level: 160, state:36> place:39694",1347
"Kingston city, New York: Summary level: 160, state:36> place:39727",9883
"Kiryas Joel village, New York: Summary level: 160, state:36> place:39853",3716
"Kysorville CDP, New York: Summary level: 160, state:36> place:40175",28
"Lackawanna city, New York: Summary level: 160, state:36> place:40189",8214
"Lacona village, New York: Summary level: 160, state:36> place:40200",265
"La Fargeville CDP, New York: Summary level: 160, state:36> place:40233",173
"Lake Carmel CDP, New York: Summary level: 160, state:36> place:40398",2763
"Lake Erie Beach CDP, New York: Summary level: 160, state:36> place:40486",1544
"Lake George village, New York: Summary level: 160, state:36> place:40508",406
"Lake Grove village, New York: Summary level: 160, state:36> place:40530",3631
"Lake Katrine CDP, New York: Summary level: 160, state:36> place:40585",843
"Lakeland CDP, New York: Summary level: 160, state:36> place:40607",1149
"Lake Luzerne CDP, New York: Summary level: 160, state:36> place:40651",398
"Lake Mohegan CDP, New York: Summary level: 160, state:36> place:40689",1989
"Lake Placid village, New York: Summary level: 160, state:36> place:40761",1326
"Lake Ronkonkoma CDP, New York: Summary level: 160, state:36> place:40838",6723
"Lake Success village, New York: Summary level: 160, state:36> place:40937",827
"Lakeview CDP, New York: Summary level: 160, state:36> place:41003",1502
"Lakeville CDP, New York: Summary level: 160, state:36> place:41036",240
"Lakewood village, New York: Summary level: 160, state:36> place:41069",1309
"Lancaster village, New York: Summary level: 160, state:36> place:41135",4303
"Lansing village, New York: Summary level: 160, state:36> place:41223",1673
"Larchmont village, New York: Summary level: 160, state:36> place:41333",2228
"Lattingtown village, New York: Summary level: 160, state:36> place:41432",613
"Laurel CDP, New York: Summary level: 160, state:36> place:41465",449
"Laurel Hollow village, New York: Summary level: 160, state:36> place:41487",530
"Laurens village, New York: Summary level: 160, state:36> place:41520",97
"Lawrence village, New York: Summary level: 160, state:36> place:41553",2045
"Leeds CDP, New York: Summary level: 160, state:36> place:41784",132
"Leicester village, New York: Summary level: 160, state:36> place:41872",204
"Le Roy village, New York: Summary level: 160, state:36> place:42026",1614
"Levittown CDP, New York: Summary level: 160, state:36> place:42081",16785
"Lewiston village, New York: Summary level: 160, state:36> place:42147",1268
"Liberty village, New York: Summary level: 160, state:36> place:42224",1763
"Lido Beach CDP, New York: Summary level: 160, state:36> place:42279",1103
"Lima village, New York: Summary level: 160, state:36> place:42323",891
"Lime Lake CDP, New York: Summary level: 160, state:36> place:42345",217
"Limestone CDP, New York: Summary level: 160, state:36> place:42378",130
"Lincolndale CDP, New York: Summary level: 160, state:36> place:42455",410
"Lincoln Park CDP, New York: Summary level: 160, state:36> place:42488",1154
"Lindenhurst village, New York: Summary level: 160, state:36> place:42554",8983
"Linwood CDP, New York: Summary level: 160, state:36> place:42609",33
"Lisle village, New York: Summary level: 160, state:36> place:42642",122
"Little Falls city, New York: Summary level: 160, state:36> place:42741",2310
"Little Valley village, New York: Summary level: 160, state:36> place:42829",440
"Liverpool village, New York: Summary level: 160, state:36> place:42884",1110
"Livingston Manor CDP, New York: Summary level: 160, state:36> place:42928",468
"Livonia village, New York: Summary level: 160, state:36> place:42950",596
"Livonia Center CDP, New York: Summary level: 160, state:36> place:42972",98
"Lloyd Harbor village, New York: Summary level: 160, state:36> place:43005",1085
"Loch Sheldrake CDP, New York: Summary level: 160, state:36> place:43038",323
"Lockport city, New York: Summary level: 160, state:36> place:43082",8990
"Locust Valley CDP, New York: Summary level: 160, state:36> place:43192",1191
"Lodi village, New York: Summary level: 160, state:36> place:43214",163
"Long Beach city, New York: Summary level: 160, state:36> place:43335",14430
"Long Lake CDP, New York: Summary level: 160, state:36> place:43401",171
"Lorenz Park CDP, New York: Summary level: 160, state:36> place:43511",959
"Lorraine CDP, New York: Summary level: 160, state:36> place:43533",78
"Lowville village, New York: Summary level: 160, state:36> place:43720",1668
"Lynbrook village, New York: Summary level: 160, state:36> place:43874",7121
"Lyncourt CDP, New York: Summary level: 160, state:36> place:43885",1879
"Lyndonville village, New York: Summary level: 160, state:36> place:43918",341
"Lyon Mountain CDP, New York: Summary level: 160, state:36> place:43951",213
"Lyons village, New York: Summary level: 160, state:36> place:43962",1579
"Lyons Falls village, New York: Summary level: 160, state:36> place:44006",339
"Macedon village, New York: Summary level: 160, state:36> place:44149",557
"McGraw village, New York: Summary level: 160, state:36> place:44193",439
"Machias CDP, New York: Summary level: 160, state:36> place:44226",230
"Madison village, New York: Summary level: 160, state:36> place:44424",148
"Madrid CDP, New York: Summary level: 160, state:36> place:44479",259
"Mahopac CDP, New York: Summary level: 160, state:36> place:44534",2905
"Malden-on-Hudson CDP, New York: Summary level: 160, state:36> place:44677",82
"Malone village, New York: Summary level: 160, state:36> place:44710",2482
"Malverne village, New York: Summary level: 160, state:36> place:44787",3033
"Malverne Park Oaks CDP, New York: Summary level: 160, state:36> place:44792",166
"Mamaroneck village, New York: Summary level: 160, state:36> place:44831",7189
"Manchester village, New York: Summary level: 160, state:36> place:44853",743
"Manhasset CDP, New York: Summary level: 160, state:36> place:44897",2646
"Manhasset Hills CDP, New York: Summary level: 160, state:36> place:44908",1198
"Manlius village, New York: Summary level: 160, state:36> place:45018",1838
"Mannsville village, New York: Summary level: 160, state:36> place:45073",129
"Manorhaven village, New York: Summary level: 160, state:36> place:45106",2377
"Manorville CDP, New York: Summary level: 160, state:36> place:45139",4839
"Marathon village, New York: Summary level: 160, state:36> place:45392",445
"Marcellus village, New York: Summary level: 160, state:36> place:45480",736
"Margaretville village, New York: Summary level: 160, state:36> place:45557",252
"Mariaville Lake CDP, New York: Summary level: 160, state:36> place:45573",282
"Marion CDP, New York: Summary level: 160, state:36> place:45634",648
"Marlboro CDP, New York: Summary level: 160, state:36> place:45700",1400
"Massapequa CDP, New York: Summary level: 160, state:36> place:45986",7207
"Massapequa Park village, New York: Summary level: 160, state:36> place:45997",5500
"Massena village, New York: Summary level: 160, state:36> place:46019",4971
"Mastic CDP, New York: Summary level: 160, state:36> place:46074",5180
"Mastic Beach village, New York: Summary level: 160, state:36> place:46085",4827
"Matinecock village, New York: Summary level: 160, state:36> place:46107",287
"Mattituck CDP, New York: Summary level: 160, state:36> place:46140",1795
"Mattydale CDP, New York: Summary level: 160, state:36> place:46151",2669
"Maybrook village, New York: Summary level: 160, state:36> place:46162",1113
"Mayfield village, New York: Summary level: 160, state:36> place:46206",313
"Mayville village, New York: Summary level: 160, state:36> place:46239",573
"Mechanicstown CDP, New York: Summary level: 160, state:36> place:46349",2669
"Mechanicville city, New York: Summary level: 160, state:36> place:46360",2357
"Medford CDP, New York: Summary level: 160, state:36> place:46404",7943
"Medina village, New York: Summary level: 160, state:36> place:46415",2409
"Melrose Park CDP, New York: Summary level: 160, state:36> place:46503",904
"Melville CDP, New York: Summary level: 160, state:36> place:46514",6926
"Menands village, New York: Summary level: 160, state:36> place:46536",1702
"Meridian village, New York: Summary level: 160, state:36> place:46646",113
"Merrick CDP, New York: Summary level: 160, state:36> place:46668",7033
"Merritt Park CDP, New York: Summary level: 160, state:36> place:46750",476
"Mexico village, New York: Summary level: 160, state:36> place:46811",715
"Middleburgh village, New York: Summary level: 160, state:36> place:46866",695
"Middle Island CDP, New York: Summary level: 160, state:36> place:46976",4058
"Middleport village, New York: Summary level: 160, state:36> place:46998",667
"Middletown city, New York: Summary level: 160, state:36> place:47042",9506
"Middleville village, New York: Summary level: 160, state:36> place:47108",239
"Milford village, New York: Summary level: 160, state:36> place:47229",188
"Millbrook village, New York: Summary level: 160, state:36> place:47273",701
"Miller Place CDP, New York: Summary level: 160, state:36> place:47306",3977
"Millerton village, New York: Summary level: 160, state:36> place:47361",312
"Mill Neck village, New York: Summary level: 160, state:36> place:47405",353
"Millport village, New York: Summary level: 160, state:36> place:47427",118
"Milton CDP (Saratoga County), New York: Summary level: 160, state:36> place:47548",1228
"Milton CDP (Ulster County), New York: Summary level: 160, state:36> place:47554",528
"Mineola village, New York: Summary level: 160, state:36> place:47636",7239
"Minetto CDP, New York: Summary level: 160, state:36> place:47680",377
"Mineville CDP, New York: Summary level: 160, state:36> place:47702",359
"Minoa village, New York: Summary level: 160, state:36> place:47757",1551
"Mohawk village, New York: Summary level: 160, state:36> place:47823",1114
"Monroe village, New York: Summary level: 160, state:36> place:47988",2618
"Monsey CDP, New York: Summary level: 160, state:36> place:48010",3536
"Montauk CDP, New York: Summary level: 160, state:36> place:48054",1737
"Montebello village, New York: Summary level: 160, state:36> place:48090",1457
"Montgomery village, New York: Summary level: 160, state:36> place:48142",1383
"Monticello village, New York: Summary level: 160, state:36> place:48175",2869
"Montour Falls village, New York: Summary level: 160, state:36> place:48197",759
"Montrose CDP, New York: Summary level: 160, state:36> place:48208",1049
"Mooers CDP, New York: Summary level: 160, state:36> place:48241",176
"Moravia village, New York: Summary level: 160, state:36> place:48296",575
"Moriches CDP, New York: Summary level: 160, state:36> place:48450",1127
"Morris village, New York: Summary level: 160, state:36> place:48483",233
"Morrisonville CDP, New York: Summary level: 160, state:36> place:48538",796
"Morristown village, New York: Summary level: 160, state:36> place:48571",198
"Morrisville village, New York: Summary level: 160, state:36> place:48593",296
"Mountain Lodge Park CDP, New York: Summary level: 160, state:36> place:48750",582
"Mount Ivy CDP, New York: Summary level: 160, state:36> place:48879",2700
"Mount Kisco village, New York: Summary level: 160, state:36> place:48890",4128
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",1133
"Mount Sinai CDP, New York: Summary level: 160, state:36> place:49066",4172
"Mount Vernon city, New York: Summary level: 160, state:36> place:49121",25998
"Munnsville village, New York: Summary level: 160, state:36> place:49220",164
"Munsey Park village, New York: Summary level: 160, state:36> place:49231",747
"Munsons Corners CDP, New York: Summary level: 160, state:36> place:49242",957
"Muttontown village, New York: Summary level: 160, state:36> place:49330",1054
"Myers Corner CDP, New York: Summary level: 160, state:36> place:49363",2195
"Nanuet CDP, New York: Summary level: 160, state:36> place:49407",6721
"Napanoch CDP, New York: Summary level: 160, state:36> place:49418",521
"Napeague CDP, New York: Summary level: 160, state:36> place:49424",90
"Naples village, New York: Summary level: 160, state:36> place:49429",441
"Narrowsburg CDP, New York: Summary level: 160, state:36> place:49473",199
"Nassau village, New York: Summary level: 160, state:36> place:49506",509
"Natural Bridge CDP, New York: Summary level: 160, state:36> place:49605",181
"Nedrow CDP, New York: Summary level: 160, state:36> place:49726",866
"Nelliston village, New York: Summary level: 160, state:36> place:49748",297
"Nelsonville village, New York: Summary level: 160, state:36> place:49781",244
"Nesconset CDP, New York: Summary level: 160, state:36> place:49825",4457
"Newark village, New York: Summary level: 160, state:36> place:49891",3761
"Newark Valley village, New York: Summary level: 160, state:36> place:49902",422
"New Berlin village, New York: Summary level: 160, state:36> place:49946",448
"Newburgh city, New York: Summary level: 160, state:36> place:50034",9236
"New Cassel CDP, New York: Summary level: 160, state:36> place:50067",3109
"New City CDP, New York: Summary level: 160, state:36> place:50100",11001
"Newfane CDP, New York: Summary level: 160, state:36> place:50221",1304
"Newfield Hamlet CDP, New York: Summary level: 160, state:36> place:50257",287
"New Hartford village, New York: Summary level: 160, state:36> place:50298",828
"New Hempstead village, New York: Summary level: 160, state:36> place:50353",1165
"New Hyde Park village, New York: Summary level: 160, state:36> place:50397",3248
"New Paltz village, New York: Summary level: 160, state:36> place:50551",2128
"Newport village, New York: Summary level: 160, state:36> place:50573",218
"New Rochelle city, New York: Summary level: 160, state:36> place:50617",28202
"New Square village, New York: Summary level: 160, state:36> place:50705",1240
"New Suffolk CDP, New York: Summary level: 160, state:36> place:50727",173
"New Windsor CDP, New York: Summary level: 160, state:36> place:50837",3415
"New York city, New York: Summary level: 160, state:36> place:51000",3070298
"New York Mills village, New York: Summary level: 160, state:36> place:51011",1582
"Niagara Falls city, New York: Summary level: 160, state:36> place:51055",21737
"Nichols village, New York: Summary level: 160, state:36> place:51110",166
"Niskayuna CDP, New York: Summary level: 160, state:36> place:51262",1803
"Nissequogue village, New York: Summary level: 160, state:36> place:51286",541
"Niverville CDP, New York: Summary level: 160, state:36> place:51297",719
"Norfolk CDP, New York: Summary level: 160, state:36> place:51319",504
"North Amityville CDP, New York: Summary level: 160, state:36> place:51396",5407
"Northampton CDP, New York: Summary level: 160, state:36> place:51418",183
"North Babylon CDP, New York: Summary level: 160, state:36> place:51440",6027
"North Ballston Spa CDP, New York: Summary level: 160, state:36> place:51467",557
"North Bay Shore CDP, New York: Summary level: 160, state:36> place:51495",4751
"North Bellmore CDP, New York: Summary level: 160, state:36> place:51517",6485
"North Bellport CDP, New York: Summary level: 160, state:36> place:51528",3551
"North Boston CDP, New York: Summary level: 160, state:36> place:51583",1090
"North Collins village, New York: Summary level: 160, state:36> place:51792",439
"North Creek CDP, New York: Summary level: 160, state:36> place:51847",176
"Northeast Ithaca CDP, New York: Summary level: 160, state:36> place:51915",1152
"North Gates CDP, New York: Summary level: 160, state:36> place:52040",4213
"North Great River CDP, New York: Summary level: 160, state:36> place:52078",1216
"North Haven village, New York: Summary level: 160, state:36> place:52188",390
"North Hills village, New York: Summary level: 160, state:36> place:53022",2400
"North Hornell village, New York: Summary level: 160, state:36> place:53055",335
"North Lindenhurst CDP, New York: Summary level: 160, state:36> place:53198",3736
"North Lynbrook CDP, New York: Summary level: 160, state:36> place:53231",221
"North Massapequa CDP, New York: Summary level: 160, state:36> place:53253",6185
"North Merrick CDP, New York: Summary level: 160, state:36> place:53264",3822
"North New Hyde Park CDP, New York: Summary level: 160, state:36> place:53275",4622
"North Patchogue CDP, New York: Summary level: 160, state:36> place:53319",2260
"Northport village, New York: Summary level: 160, state:36> place:53396",2773
"North Rose CDP, New York: Summary level: 160, state:36> place:53462",243
"North Sea CDP, New York: Summary level: 160, state:36> place:53561",1830
"North Syracuse village, New York: Summary level: 160, state:36> place:53660",3303
"North Tonawanda city, New York: Summary level: 160, state:36> place:53682",13937
"North Valley Stream CDP, New York: Summary level: 160, state:36> place:53748",5229
"Northville village, New York: Summary level: 160, state:36> place:53770",403
"Northville CDP, New York: Summary level: 160, state:36> place:53775",659
"North Wantagh CDP, New York: Summary level: 160, state:36> place:53792",4157
"Northwest Harbor CDP, New York: Summary level: 160, state:36> place:53852",1724
"Northwest Ithaca CDP, New York: Summary level: 160, state:36> place:53853",522
"Norwich city, New York: Summary level: 160, state:36> place:53979",2924
"Norwood village, New York: Summary level: 160, state:36> place:54012",650
"Noyack CDP, New York: Summary level: 160, state:36> place:54056",1619
"Nunda village, New York: Summary level: 160, state:36> place:54078",599
"Nyack village, New York: Summary level: 160, state:36> place:54100",3334
"Oak Beach-Captree CDP, New York: Summary level: 160, state:36> place:54112",231
"Oakdale CDP, New York: Summary level: 160, state:36> place:54144",2840
"Oakfield village, New York: Summary level: 160, state:36> place:54155",702
"Ocean Beach village, New York: Summary level: 160, state:36> place:54430",39
"Oceanside CDP, New York: Summary level: 160, state:36> place:54441",10794
"Odessa village, New York: Summary level: 160, state:36> place:54452",275
"Ogdensburg city, New York: Summary level: 160, state:36> place:54485",4231
"Olcott CDP, New York: Summary level: 160, state:36> place:54540",530
"Old Bethpage CDP, New York: Summary level: 160, state:36> place:54551",1809
"Old Brookville village, New York: Summary level: 160, state:36> place:54562",795
"Old Field village, New York: Summary level: 160, state:36> place:54617",320
"Old Forge CDP, New York: Summary level: 160, state:36> place:54639",342
"Old Westbury village, New York: Summary level: 160, state:36> place:54705",921
"Olean city, New York: Summary level: 160, state:36> place:54716",6247
"Oneida city, New York: Summary level: 160, state:36> place:54837",4552
"Oneida Castle village, New York: Summary level: 160, state:36> place:54848",285
"Oneonta city, New York: Summary level: 160, state:36> place:54881",4372
"Ontario CDP, New York: Summary level: 160, state:36> place:55002",998
"Orangeburg CDP, New York: Summary level: 160, state:36> place:55167",1433
"Orange Lake CDP, New York: Summary level: 160, state:36> place:55189",2641
"Orchard Park village, New York: Summary level: 160, state:36> place:55266",1449
"Orient CDP, New York: Summary level: 160, state:36> place:55321",346
"Oriskany village, New York: Summary level: 160, state:36> place:55365",523
"Oriskany Falls village, New York: Summary level: 160, state:36> place:55376",314
"Ossining village, New York: Summary level: 160, state:36> place:55530",7789
"Oswego city, New York: Summary level: 160, state:36> place:55574",7476
"Otego village, New York: Summary level: 160, state:36> place:55618",491
"Otisville village, New York: Summary level: 160, state:36> place:55673",416
"Ovid village, New York: Summary level: 160, state:36> place:55816",224
"Owego village, New York: Summary level: 160, state:36> place:55882",1696
"Oxbow CDP, New York: Summary level: 160, state:36> place:55937",44
"Oxford village, New York: Summary level: 160, state:36> place:55948",558
"Oyster Bay CDP, New York: Summary level: 160, state:36> place:55992",2683
"Oyster Bay Cove village, New York: Summary level: 160, state:36> place:56011",684
"Painted Post village, New York: Summary level: 160, state:36> place:56088",788
"Palatine Bridge village, New York: Summary level: 160, state:36> place:56110",326
"Palenville CDP, New York: Summary level: 160, state:36> place:56132",418
"Palmyra village, New York: Summary level: 160, state:36> place:56187",1502
"Pamelia Center CDP, New York: Summary level: 160, state:36> place:56212",76
"Panama village, New York: Summary level: 160, state:36> place:56231",203
"Accord CDP, New York: Summary level: 160, state:36> place:00155",227
"Adams village, New York: Summary level: 160, state:36> place:00199",771
"Adams Center CDP, New York: Summary level: 160, state:36> place:00232",882
"Addison village, New York: Summary level: 160, state:36> place:00276",749
"Afton village, New York: Summary level: 160, state:36> place:00342",423
"Airmont village, New York: Summary level: 160, state:36> place:00408",2719
"Akron village, New York: Summary level: 160, state:36> place:00441",1191
"Albany city, New York: Summary level: 160, state:36> place:01000",39868
"Albertson CDP, New York: Summary level: 160, state:36> place:01011",1764
"Albion village, New York: Summary level: 160, state:36> place:01033",2230
"Alden village, New York: Summary level: 160, state:36> place:01088",1142
"Alexander village, New York: Summary level: 160, state:36> place:01154",198
"Alexandria Bay village, New York: Summary level: 160, state:36> place:01187",466
"Alfred village, New York: Summary level: 160, state:36> place:01198",423
"Allegany village, New York: Summary level: 160, state:36> place:01286",727
"Almond village, New York: Summary level: 160, state:36> place:01440",197
"Altamont village, New York: Summary level: 160, state:36> place:01517",644
"Altmar village, New York: Summary level: 160, state:36> place:01550",136
"Altona CDP, New York: Summary level: 160, state:36> place:01572",129
"Amagansett CDP, New York: Summary level: 160, state:36> place:01594",430
"Amenia CDP, New York: Summary level: 160, state:36> place:01682",408
"Ames village, New York: Summary level: 160, state:36> place:01737",70
"Amityville village, New York: Summary level: 160, state:36> place:02044",3480
"Amsterdam city, New York: Summary level: 160, state:36> place:02066",7787
"Andes CDP, New York: Summary level: 160, state:36> place:02121",99
"Andover village, New York: Summary level: 160, state:36> place:02143",366
"Angelica village, New York: Summary level: 160, state:36> place:02176",391
"Angola village, New York: Summary level: 160, state:36> place:02198",771
"Angola on the Lake CDP, New York: Summary level: 160, state:36> place:02220",642
"Antwerp village, New York: Summary level: 160, state:36> place:02286",197
"Apalachin CDP, New York: Summary level: 160, state:36> place:02308",503
"Aquebogue CDP, New York: Summary level: 160, state:36> place:02374",863
"Arcade village, New York: Summary level: 160, state:36> place:02407",871
"Ardsley village, New York: Summary level: 160, state:36> place:02506",1538
"Argyle village, New York: Summary level: 160, state:36> place:02550",133
"Arkport village, New York: Summary level: 160, state:36> place:02583",368
"Arlington CDP, New York: Summary level: 160, state:36> place:02616",1439
"Armonk CDP, New York: Summary level: 160, state:36> place:02649",1351
"Asharoken village, New York: Summary level: 160, state:36> place:02737",224
"Athens village, New York: Summary level: 160, state:36> place:02902",634
"Atlantic Beach village, New York: Summary level: 160, state:36> place:02968",696
"Attica village, New York: Summary level: 160, state:36> place:03001",1105
"Auburn city, New York: Summary level: 160, state:36> place:03078",11248
"Aurora village, New York: Summary level: 160, state:36> place:03188",164
"Au Sable Forks CDP, New York: Summary level: 160, state:36> place:03254",206
"Averill Park CDP, New York: Summary level: 160, state:36> place:03320",631
"Avoca village, New York: Summary level: 160, state:36> place:03331",378
"Avon village, New York: Summary level: 160, state:36> place:03353",1360
"Babylon village, New York: Summary level: 160, state:36> place:03408",4521
"Bainbridge village, New York: Summary level: 160, state:36> place:04033",562
"Baiting Hollow CDP, New York: Summary level: 160, state:36> place:04055",642
"Baldwin CDP, New York: Summary level: 160, state:36> place:04143",7497
