,Total
"Constableville village, New York: Summary level: 160, state:36> place:17882",287
"Copenhagen village, New York: Summary level: 160, state:36> place:18135",765
"Lyons Falls village, New York: Summary level: 160, state:36> place:44006",543
"Middleburgh village, New York: Summary level: 160, state:36> place:46866",1521
"Richmondville village, New York: Summary level: 160, state:36> place:61588",869
"Ithaca city, New York: Summary level: 160, state:36> place:38077",30568
"Fort Plain village, New York: Summary level: 160, state:36> place:26924",1739
"Palatine Bridge village, New York: Summary level: 160, state:36> place:56110",637
"Beaver Dam Lake CDP, New York: Summary level: 160, state:36> place:05188",1654
"Limestone CDP, New York: Summary level: 160, state:36> place:42378",492
"Lake Luzerne CDP, New York: Summary level: 160, state:36> place:40651",977
"Niskayuna CDP, New York: Summary level: 160, state:36> place:51262",4882
"West Valley CDP, New York: Summary level: 160, state:36> place:81138",547
"Williamson CDP, New York: Summary level: 160, state:36> place:82029",2561
"Willsboro CDP, New York: Summary level: 160, state:36> place:82260",861
"Wilmington CDP, New York: Summary level: 160, state:36> place:82304",819
"Winthrop CDP, New York: Summary level: 160, state:36> place:82612",149
"Witherbee CDP, New York: Summary level: 160, state:36> place:82656",267
"Woodsville CDP, New York: Summary level: 160, state:36> place:83063",105
"Hall CDP, New York: Summary level: 160, state:36> place:31533",128
"Hamlin CDP, New York: Summary level: 160, state:36> place:31786",5453
"Hannawa Falls CDP, New York: Summary level: 160, state:36> place:32006",882
"Hartwick CDP, New York: Summary level: 160, state:36> place:32578",641
"Hemlock CDP, New York: Summary level: 160, state:36> place:33128",423
"Henderson CDP, New York: Summary level: 160, state:36> place:34044",151
"Honeoye CDP, New York: Summary level: 160, state:36> place:35353",854
"Hortonville CDP, New York: Summary level: 160, state:36> place:35738",162
"Hunt CDP, New York: Summary level: 160, state:36> place:36156",109
"Hyde Park CDP, New York: Summary level: 160, state:36> place:37198",1982
"Katonah CDP, New York: Summary level: 160, state:36> place:38946",1895
"Kennedy CDP, New York: Summary level: 160, state:36> place:39243",363
"Keuka Park CDP, New York: Summary level: 160, state:36> place:39463",975
"Kysorville CDP, New York: Summary level: 160, state:36> place:40175",189
"Lakeville CDP, New York: Summary level: 160, state:36> place:41036",1002
"Lime Lake CDP, New York: Summary level: 160, state:36> place:42345",845
"Linwood CDP, New York: Summary level: 160, state:36> place:42609",85
"Livonia Center CDP, New York: Summary level: 160, state:36> place:42972",330
"Long Lake CDP, New York: Summary level: 160, state:36> place:43401",379
"Lorraine CDP, New York: Summary level: 160, state:36> place:43533",107
"Machias CDP, New York: Summary level: 160, state:36> place:44226",432
"Madrid CDP, New York: Summary level: 160, state:36> place:44479",680
"Malden-on-Hudson CDP, New York: Summary level: 160, state:36> place:44677",291
"Marion CDP, New York: Summary level: 160, state:36> place:45634",1373
"Sherburne village, New York: Summary level: 160, state:36> place:66883",1414
"Farnham village, New York: Summary level: 160, state:36> place:25428",474
"Sherman village, New York: Summary level: 160, state:36> place:66949",752
"Sharon Springs village, New York: Summary level: 160, state:36> place:66663",539
"Greenvale CDP, New York: Summary level: 160, state:36> place:30598",1705
"Island Park village, New York: Summary level: 160, state:36> place:37847",4807
"Saddle Rock village, New York: Summary level: 160, state:36> place:64430",758
"Cortland West CDP, New York: Summary level: 160, state:36> place:18443",1245
"Angelica village, New York: Summary level: 160, state:36> place:02176",759
"East Meadow CDP, New York: Summary level: 160, state:36> place:22502",37358
"Massapequa CDP, New York: Summary level: 160, state:36> place:45986",21861
"Celoron village, New York: Summary level: 160, state:36> place:13288",953
"Prospect CDP, New York: Summary level: 160, state:36> place:59883",319
"Altmar CDP, New York: Summary level: 160, state:36> place:01550",442
"Forestville CDP, New York: Summary level: 160, state:36> place:26649",828
"Merritt Park CDP, New York: Summary level: 160, state:36> place:46750",1776
"Mineville CDP, New York: Summary level: 160, state:36> place:47702",1335
"Montrose CDP, New York: Summary level: 160, state:36> place:48208",3187
"Mountain Lodge Park CDP, New York: Summary level: 160, state:36> place:48750",1914
"North Creek CDP, New York: Summary level: 160, state:36> place:51847",592
"North Gates CDP, New York: Summary level: 160, state:36> place:52040",9353
"North Rose CDP, New York: Summary level: 160, state:36> place:53462",425
"Oak Beach-Captree CDP, New York: Summary level: 160, state:36> place:54112",39
"Old Forge CDP, New York: Summary level: 160, state:36> place:54639",454
"Ontario CDP, New York: Summary level: 160, state:36> place:55002",1817
"Oxbow CDP, New York: Summary level: 160, state:36> place:55937",109
"Pamelia Center CDP, New York: Summary level: 160, state:36> place:56212",372
"Parishville CDP, New York: Summary level: 160, state:36> place:56363",674
"Paul Smiths CDP, New York: Summary level: 160, state:36> place:56770",632
"Pavilion CDP, New York: Summary level: 160, state:36> place:56781",614
"Cherry Valley village, New York: Summary level: 160, state:36> place:15242",555
"Milford village, New York: Summary level: 160, state:36> place:47229",380
"Richfield Springs village, New York: Summary level: 160, state:36> place:61489",1075
"North Hornell village, New York: Summary level: 160, state:36> place:53055",768
"Carmel Hamlet CDP, New York: Summary level: 160, state:36> place:12532",6345
"Mamaroneck village, New York: Summary level: 160, state:36> place:44831",19213
"Mount Vernon city, New York: Summary level: 160, state:36> place:49121",68035
"Peekskill city, New York: Summary level: 160, state:36> place:56979",24008
"Rye city, New York: Summary level: 160, state:36> place:64309",15862
"Scotts Corners CDP, New York: Summary level: 160, state:36> place:65948",704
"Tarrytown village, New York: Summary level: 160, state:36> place:73176",11459
"Johnstown city, New York: Summary level: 160, state:36> place:38781",8307
"Central Square village, New York: Summary level: 160, state:36> place:13585",1855
"Narrowsburg CDP, New York: Summary level: 160, state:36> place:49473",338
"Roscoe CDP, New York: Summary level: 160, state:36> place:63583",546
"Gardnertown CDP, New York: Summary level: 160, state:36> place:28310",5200
"Otisville village, New York: Summary level: 160, state:36> place:55673",1255
"Port Jervis city, New York: Summary level: 160, state:36> place:59388",8614
"Manorville CDP, New York: Summary level: 160, state:36> place:45139",14405
"Huntington Bay village, New York: Summary level: 160, state:36> place:37022",1366
"Islip CDP, New York: Summary level: 160, state:36> place:37869",17921
"Islip Terrace CDP, New York: Summary level: 160, state:36> place:38022",5529
"Moriches CDP, New York: Summary level: 160, state:36> place:48450",3277
"Mount Sinai CDP, New York: Summary level: 160, state:36> place:49066",11529
"North Great River CDP, New York: Summary level: 160, state:36> place:52078",3934
"Port Jefferson Station CDP, New York: Summary level: 160, state:36> place:59377",7808
"Remsenburg-Speonk CDP, New York: Summary level: 160, state:36> place:61142",1974
"St. James CDP, New York: Summary level: 160, state:36> place:64584",13155
"Shelter Island CDP, New York: Summary level: 160, state:36> place:66828",1695
"Shirley CDP, New York: Summary level: 160, state:36> place:67070",28698
"Shoreham village, New York: Summary level: 160, state:36> place:67191",437
"Loch Sheldrake CDP, New York: Summary level: 160, state:36> place:43038",1236
"Quiogue CDP, New York: Summary level: 160, state:36> place:60408",844
"Mastic Beach village, New York: Summary level: 160, state:36> place:46085",11953
"Odessa village, New York: Summary level: 160, state:36> place:54452",504
"Watkins Glen village, New York: Summary level: 160, state:36> place:78696",2016
"Interlaken village, New York: Summary level: 160, state:36> place:37528",591
"Belmont village, New York: Summary level: 160, state:36> place:05815",807
"Holland CDP, New York: Summary level: 160, state:36> place:35111",1190
"Lackawanna city, New York: Summary level: 160, state:36> place:40189",17859
"Orchard Park village, New York: Summary level: 160, state:36> place:55266",3154
"West Seneca CDP, New York: Summary level: 160, state:36> place:80907",45332
"Burdett village, New York: Summary level: 160, state:36> place:11132",437
"East Ithaca CDP, New York: Summary level: 160, state:36> place:22326",2041
"Groton village, New York: Summary level: 160, state:36> place:30961",2050
"Lansing village, New York: Summary level: 160, state:36> place:41223",3535
"West Hills CDP, New York: Summary level: 160, state:36> place:80258",5338
"Ardsley village, New York: Summary level: 160, state:36> place:02506",4534
"Croton-on-Hudson village, New York: Summary level: 160, state:36> place:19213",8183
"Pelham village, New York: Summary level: 160, state:36> place:57001",6949
"Arcade village, New York: Summary level: 160, state:36> place:02407",2182
"Rapids CDP, New York: Summary level: 160, state:36> place:60609",1198
"Mahopac CDP, New York: Summary level: 160, state:36> place:44534",8426
"Shenorock CDP, New York: Summary level: 160, state:36> place:66872",2179
"Dundee village, New York: Summary level: 160, state:36> place:21050",1624
"Richburg village, New York: Summary level: 160, state:36> place:61434",450
"Cassadaga village, New York: Summary level: 160, state:36> place:12749",516
"Lakewood village, New York: Summary level: 160, state:36> place:41069",2872
"Westfield village, New York: Summary level: 160, state:36> place:79939",2982
"Binghamton University CDP, New York: Summary level: 160, state:36> place:06644",6149
"Bedford Hills CDP, New York: Summary level: 160, state:36> place:05342",3522
"Belfast CDP, New York: Summary level: 160, state:36> place:05562",715
"Belleville CDP, New York: Summary level: 160, state:36> place:05683",306
"Melrose Park CDP, New York: Summary level: 160, state:36> place:46503",2330
"Meridian village, New York: Summary level: 160, state:36> place:46646",327
"Voorheesville village, New York: Summary level: 160, state:36> place:77684",2806
"Westmere CDP, New York: Summary level: 160, state:36> place:80423",7001
"Angola village, New York: Summary level: 160, state:36> place:02198",2199
"Clarence Center CDP, New York: Summary level: 160, state:36> place:15836",3125
"Gowanda village, New York: Summary level: 160, state:36> place:29630",2820
"North Boston CDP, New York: Summary level: 160, state:36> place:51583",2835
"Dunkirk city, New York: Summary level: 160, state:36> place:21105",11950
"Panama village, New York: Summary level: 160, state:36> place:56231",412
"Croghan village, New York: Summary level: 160, state:36> place:19070",621
"Lowville village, New York: Summary level: 160, state:36> place:43720",3225
"Montour Falls village, New York: Summary level: 160, state:36> place:48197",1774
"Lodi village, New York: Summary level: 160, state:36> place:43214",351
"Waterloo village, New York: Summary level: 160, state:36> place:78553",4959
"Alfred village, New York: Summary level: 160, state:36> place:01198",4317
"Canaseraga village, New York: Summary level: 160, state:36> place:12177",524
"Houghton CDP, New York: Summary level: 160, state:36> place:35771",1761
"Hamilton village, New York: Summary level: 160, state:36> place:31709",3860
"East Moriches CDP, New York: Summary level: 160, state:36> place:22546",5359
"Farmingville CDP, New York: Summary level: 160, state:36> place:25417",15495
"Fishers Island CDP, New York: Summary level: 160, state:36> place:25923",183
"Fort Salonga CDP, New York: Summary level: 160, state:36> place:26946",9776
"Gordon Heights CDP, New York: Summary level: 160, state:36> place:29509",3667
"Holbrook CDP, New York: Summary level: 160, state:36> place:35056",26286
"Stewart Manor village, New York: Summary level: 160, state:36> place:71267",2191
"Port Leyden village, New York: Summary level: 160, state:36> place:59454",660
"Point Lookout CDP, New York: Summary level: 160, state:36> place:58849",1008
"Roslyn Estates village, New York: Summary level: 160, state:36> place:63792",1188
"Roslyn Heights CDP, New York: Summary level: 160, state:36> place:63814",6591
"Saddle Rock Estates CDP, New York: Summary level: 160, state:36> place:64441",577
"Syosset CDP, New York: Summary level: 160, state:36> place:72554",19559
"Wantagh CDP, New York: Summary level: 160, state:36> place:78146",18078
"Boonville village, New York: Summary level: 160, state:36> place:07355",2063
"Camden village, New York: Summary level: 160, state:36> place:11847",2570
"Utica city, New York: Summary level: 160, state:36> place:76540",60675
"East Syracuse village, New York: Summary level: 160, state:36> place:23052",2968
"Elbridge village, New York: Summary level: 160, state:36> place:23789",1004
"Akron village, New York: Summary level: 160, state:36> place:00441",2857
"Billington Heights CDP, New York: Summary level: 160, state:36> place:06574",1384
"Depew village, New York: Summary level: 160, state:36> place:20313",15164
"East Aurora village, New York: Summary level: 160, state:36> place:21589",6193
"Eden CDP, New York: Summary level: 160, state:36> place:23404",3244
"Naples village, New York: Summary level: 160, state:36> place:49429",1033
"Northwest Ithaca CDP, New York: Summary level: 160, state:36> place:53853",1289
"Woodridge village, New York: Summary level: 160, state:36> place:82953",819
"Heritage Hills CDP, New York: Summary level: 160, state:36> place:34118",4176
"Lyndonville village, New York: Summary level: 160, state:36> place:43918",724
"Eatons Neck CDP, New York: Summary level: 160, state:36> place:23316",1474
"Batavia city, New York: Summary level: 160, state:36> place:04715",14719
"Hastings-on-Hudson village, New York: Summary level: 160, state:36> place:32710",7964
"Blue Point CDP, New York: Summary level: 160, state:36> place:07069",4882
"Cobleskill village, New York: Summary level: 160, state:36> place:16628",4540
"Esperance village, New York: Summary level: 160, state:36> place:24713",394
"Schoharie village, New York: Summary level: 160, state:36> place:65585",850
"Bainbridge village, New York: Summary level: 160, state:36> place:04033",1442
"New Berlin village, New York: Summary level: 160, state:36> place:49946",927
"Friendship CDP, New York: Summary level: 160, state:36> place:27694",1169
"Greene village, New York: Summary level: 160, state:36> place:30411",1704
"Munnsville village, New York: Summary level: 160, state:36> place:49220",497
"Wampsville village, New York: Summary level: 160, state:36> place:78113",650
"Brookville village, New York: Summary level: 160, state:36> place:10132",3564
"East Norwich CDP, New York: Summary level: 160, state:36> place:22623",2902
"Franklin Square CDP, New York: Summary level: 160, state:36> place:27309",32329
"Harbor Hills CDP, New York: Summary level: 160, state:36> place:32094",475
"Hempstead village, New York: Summary level: 160, state:36> place:33139",55399
"Herricks CDP, New York: Summary level: 160, state:36> place:34198",4074
"Hewlett CDP, New York: Summary level: 160, state:36> place:34286",6484
"Lakeview CDP, New York: Summary level: 160, state:36> place:41003",6317
"Manhasset Hills CDP, New York: Summary level: 160, state:36> place:44908",3594
"North Bellmore CDP, New York: Summary level: 160, state:36> place:51517",20269
"North Massapequa CDP, New York: Summary level: 160, state:36> place:53253",18609
"Antwerp village, New York: Summary level: 160, state:36> place:02286",543
"Southampton village, New York: Summary level: 160, state:36> place:68462",3263
"Olean city, New York: Summary level: 160, state:36> place:54716",13805
"Yorkshire CDP, New York: Summary level: 160, state:36> place:84044",1191
"Schuylerville village, New York: Summary level: 160, state:36> place:65750",1552
"Glens Falls city, New York: Summary level: 160, state:36> place:29333",14359
"Jamesport CDP, New York: Summary level: 160, state:36> place:38253",1085
"Lake Ronkonkoma CDP, New York: Summary level: 160, state:36> place:40838",20780
"Mastic CDP, New York: Summary level: 160, state:36> place:46074",14678
"North Bay Shore CDP, New York: Summary level: 160, state:36> place:51495",21045
"North Haven village, New York: Summary level: 160, state:36> place:52188",919
"Port Jefferson village, New York: Summary level: 160, state:36> place:59355",7871
"Riverside CDP, New York: Summary level: 160, state:36> place:62066",3151
"Selden CDP, New York: Summary level: 160, state:36> place:66212",19770
"Smithtown CDP, New York: Summary level: 160, state:36> place:67851",26298
"Sound Beach CDP, New York: Summary level: 160, state:36> place:68374",8093
"Westhampton CDP, New York: Summary level: 160, state:36> place:80170",2898
"Westhampton Beach village, New York: Summary level: 160, state:36> place:80181",1653
"Salamanca city, New York: Summary level: 160, state:36> place:64749",5553
"Poquott village, New York: Summary level: 160, state:36> place:59157",992
"Rocky Point CDP, New York: Summary level: 160, state:36> place:63319",12902
"Shelter Island Heights CDP, New York: Summary level: 160, state:36> place:66850",1049
"Stony Brook CDP, New York: Summary level: 160, state:36> place:71608",12641
"Jordan village, New York: Summary level: 160, state:36> place:38825",1435
"Lyncourt CDP, New York: Summary level: 160, state:36> place:43885",3856
"Manlius village, New York: Summary level: 160, state:36> place:45018",4520
"Minoa village, New York: Summary level: 160, state:36> place:47757",3474
"Nedrow CDP, New York: Summary level: 160, state:36> place:49726",2316
"Seneca Knolls CDP, New York: Summary level: 160, state:36> place:66366",2002
"Castile village, New York: Summary level: 160, state:36> place:12771",945
"Fort Johnson village, New York: Summary level: 160, state:36> place:26880",839
"Tribes Hill CDP, New York: Summary level: 160, state:36> place:75341",868
"Delanson village, New York: Summary level: 160, state:36> place:20082",376
"Rotterdam CDP, New York: Summary level: 160, state:36> place:63924",20274
"Brewerton CDP, New York: Summary level: 160, state:36> place:08059",3931
"Broadalbin village, New York: Summary level: 160, state:36> place:08422",1466
"East Rochester village, New York: Summary level: 160, state:36> place:22865",6603
"Plattsburgh West CDP, New York: Summary level: 160, state:36> place:58601",1370
"La Fargeville CDP, New York: Summary level: 160, state:36> place:40233",688
"Great Neck Estates village, New York: Summary level: 160, state:36> place:30191",2841
"New Hyde Park village, New York: Summary level: 160, state:36> place:50397",9846
"Callicoon CDP, New York: Summary level: 160, state:36> place:11748",224
"Hillburn village, New York: Summary level: 160, state:36> place:34660",996
"Valley Cottage CDP, New York: Summary level: 160, state:36> place:76661",9637
"West Winfield village, New York: Summary level: 160, state:36> place:81292",752
"Red Hook village, New York: Summary level: 160, state:36> place:60895",1963
"Thiells CDP, New York: Summary level: 160, state:36> place:73583",5186
"Adams Center CDP, New York: Summary level: 160, state:36> place:00232",1451
"Clintondale CDP, New York: Summary level: 160, state:36> place:16452",1343
"Homer village, New York: Summary level: 160, state:36> place:35276",3134
"Lake Katrine CDP, New York: Summary level: 160, state:36> place:40585",2533
"Auburn city, New York: Summary level: 160, state:36> place:03078",26779
"Lyon Mountain CDP, New York: Summary level: 160, state:36> place:43951",282
"Ovid village, New York: Summary level: 160, state:36> place:55816",531
"Valley Falls village, New York: Summary level: 160, state:36> place:76672",483
"Solvay village, New York: Summary level: 160, state:36> place:68286",6364
"Ossining village, New York: Summary level: 160, state:36> place:55530",25174
"Sands Point village, New York: Summary level: 160, state:36> place:65035",2857
"Oneida Castle village, New York: Summary level: 160, state:36> place:54848",598
"East Hampton North CDP, New York: Summary level: 160, state:36> place:22200",4468
"Waverly village, New York: Summary level: 160, state:36> place:78806",4214
"Tupper Lake village, New York: Summary level: 160, state:36> place:75671",3710
"Greenport village, New York: Summary level: 160, state:36> place:30576",1945
"Nissequogue village, New York: Summary level: 160, state:36> place:51286",1574
"Windsor village, New York: Summary level: 160, state:36> place:82524",972
"Hopewell Junction CDP, New York: Summary level: 160, state:36> place:35573",454
"Leicester village, New York: Summary level: 160, state:36> place:41872",516
"Barker village, New York: Summary level: 160, state:36> place:04440",588
"Jefferson Heights CDP, New York: Summary level: 160, state:36> place:38451",968
"Stamford village, New York: Summary level: 160, state:36> place:70618",1374
"Saltaire village, New York: Summary level: 160, state:36> place:64881",8
"Fire Island CDP, New York: Summary level: 160, state:36> place:25839",249
"Cooperstown village, New York: Summary level: 160, state:36> place:18047",1886
"Mechanicville city, New York: Summary level: 160, state:36> place:46360",5144
"Floral Park village, New York: Summary level: 160, state:36> place:26264",16209
"Freeport village, New York: Summary level: 160, state:36> place:27485",43128
"Garden City village, New York: Summary level: 160, state:36> place:28178",22533
"East Farmingdale CDP, New York: Summary level: 160, state:36> place:21985",6143
"East Marion CDP, New York: Summary level: 160, state:36> place:22447",954
"Glens Falls North CDP, New York: Summary level: 160, state:36> place:29338",8807
"Tannersville village, New York: Summary level: 160, state:36> place:73143",992
"Painted Post village, New York: Summary level: 160, state:36> place:56088",1727
"Gasport CDP, New York: Summary level: 160, state:36> place:28431",1520
"Lockport city, New York: Summary level: 160, state:36> place:43082",20580
"Pelham Manor village, New York: Summary level: 160, state:36> place:57023",5595
"Port Chester village, New York: Summary level: 160, state:36> place:59223",29418
"Scarsdale village, New York: Summary level: 160, state:36> place:65431",17805
"Shrub Oak CDP, New York: Summary level: 160, state:36> place:67279",2452
"Yonkers city, New York: Summary level: 160, state:36> place:84000",199745
"Round Lake village, New York: Summary level: 160, state:36> place:63957",736
"Franklin village, New York: Summary level: 160, state:36> place:27221",399
"Hancock village, New York: Summary level: 160, state:36> place:31940",1070
"Westvale CDP, New York: Summary level: 160, state:36> place:81127",4964
"Attica village, New York: Summary level: 160, state:36> place:03001",3190
"Gainesville village, New York: Summary level: 160, state:36> place:27969",232
"Amsterdam city, New York: Summary level: 160, state:36> place:02066",17927
"Airmont village, New York: Summary level: 160, state:36> place:00408",8776
"Congers CDP, New York: Summary level: 160, state:36> place:17739",8406
"Monsey CDP, New York: Summary level: 160, state:36> place:48010",22073
"DeRuyter village, New York: Summary level: 160, state:36> place:20390",457
"Springville village, New York: Summary level: 160, state:36> place:70442",4306
"Tonawanda city, New York: Summary level: 160, state:36> place:74166",14873
"Canastota village, New York: Summary level: 160, state:36> place:12188",4605
"Tonawanda CDP, New York: Summary level: 160, state:36> place:74183",57280
"Madison village, New York: Summary level: 160, state:36> place:44424",468
"West Sand Lake CDP, New York: Summary level: 160, state:36> place:80863",2714
"Forest Home CDP, New York: Summary level: 160, state:36> place:26561",616
"Mayville village, New York: Summary level: 160, state:36> place:46239",1412
"Webster village, New York: Summary level: 160, state:36> place:78960",5565
"Nichols village, New York: Summary level: 160, state:36> place:51110",601
"Dexter village, New York: Summary level: 160, state:36> place:20500",1022
"Nassau village, New York: Summary level: 160, state:36> place:49506",1048
"Troy city, New York: Summary level: 160, state:36> place:75484",49610
"Glen Cove city, New York: Summary level: 160, state:36> place:29113",27226
"Johnson City village, New York: Summary level: 160, state:36> place:38748",14575
"Le Roy village, New York: Summary level: 160, state:36> place:42026",4220
"Lisle village, New York: Summary level: 160, state:36> place:42642",215
"Mohawk village, New York: Summary level: 160, state:36> place:47823",2578
"Port Dickinson village, New York: Summary level: 160, state:36> place:59245",1812
"Millbrook village, New York: Summary level: 160, state:36> place:47273",1421
"Rhinebeck village, New York: Summary level: 160, state:36> place:61346",2583
"Greece CDP, New York: Summary level: 160, state:36> place:30279",14826
"Nyack village, New York: Summary level: 160, state:36> place:54100",7188
"Pearl River CDP, New York: Summary level: 160, state:36> place:56902",16495
"Suffern village, New York: Summary level: 160, state:36> place:71894",10926
"Star Lake CDP, New York: Summary level: 160, state:36> place:70849",802
"Palmyra village, New York: Summary level: 160, state:36> place:56187",3383
"Elmira Heights village, New York: Summary level: 160, state:36> place:24251",4032
"Horseheads village, New York: Summary level: 160, state:36> place:35694",6510
"Wellsburg village, New York: Summary level: 160, state:36> place:79081",518
"Caledonia village, New York: Summary level: 160, state:36> place:11704",2102
"Lima village, New York: Summary level: 160, state:36> place:42323",2369
"Pleasant Valley CDP, New York: Summary level: 160, state:36> place:58684",1367
"Spackenkill CDP, New York: Summary level: 160, state:36> place:70035",4239
"Claverack-Red Mills CDP, New York: Summary level: 160, state:36> place:16050",543
"Germantown CDP, New York: Summary level: 160, state:36> place:28761",898
"Grand View-on-Hudson village, New York: Summary level: 160, state:36> place:29872",307
"Nanuet CDP, New York: Summary level: 160, state:36> place:49407",17775
