,Total,"Less than $10,000:","Less than $10,000:!!With a broadband Internet subscription","$10,000 to $19,999:","$10,000 to $19,999:!!With a broadband Internet subscription","$20,000 to $34,999:","$20,000 to $34,999:!!With a broadband Internet subscription","$35,000 to $49,999:","$35,000 to $49,999:!!With a broadband Internet subscription","$50,000 to $74,999:","$50,000 to $74,999:!!With a broadband Internet subscription","$75,000 or more:","$75,000 or more:!!With a broadband Internet subscription"
"Almond village, New York: Summary level: 160, state:36> place:01440",177,9,1,17,12,29,18,23,22,40,32,59,53
"Canisteo village, New York: Summary level: 160, state:36> place:12254",893,21,16,118,44,190,123,88,78,162,156,314,297
"Corning city, New York: Summary level: 160, state:36> place:18256",5069,473,268,548,225,918,619,623,487,974,709,1533,1444
"Sleepy Hollow village, New York: Summary level: 160, state:36> place:67638",3670,195,178,331,190,590,329,425,300,518,463,1611,1551
"Bellerose Terrace CDP, New York: Summary level: 160, state:36> place:05661",572,19,19,0,0,30,0,26,16,153,144,344,344
"Cove Neck village, New York: Summary level: 160, state:36> place:18597",101,6,2,5,5,6,6,2,0,5,5,77,66
"Baldwinsville village, New York: Summary level: 160, state:36> place:04198",3210,148,82,285,202,459,253,480,352,533,433,1305,1195
"Galeville CDP, New York: Summary level: 160, state:36> place:28035",1952,162,56,187,123,245,115,344,262,308,257,706,645
"Valatie village, New York: Summary level: 160, state:36> place:76617",559,21,12,70,34,73,65,45,32,134,110,216,210
"Ghent CDP, New York: Summary level: 160, state:36> place:28860",164,0,0,0,0,39,27,15,15,13,13,97,97
"Kinderhook village, New York: Summary level: 160, state:36> place:39562",656,18,18,43,0,77,62,62,56,132,125,324,312
"Lorenz Park CDP, New York: Summary level: 160, state:36> place:43511",953,39,16,189,67,116,90,113,74,194,146,302,273
"Fairport village, New York: Summary level: 160, state:36> place:25076",2477,51,51,162,92,167,74,275,256,578,560,1244,1231
"Hilton village, New York: Summary level: 160, state:36> place:34847",2295,72,59,152,115,366,250,273,251,699,571,733,693
"Pittsford village, New York: Summary level: 160, state:36> place:58354",729,3,3,14,11,57,42,66,44,146,139,443,435
"Plainedge CDP, New York: Summary level: 160, state:36> place:58409",2972,9,9,66,26,133,111,256,169,438,402,2070,1970
"Rockville Centre village, New York: Summary level: 160, state:36> place:63264",9458,300,106,459,200,1065,681,583,390,729,588,6322,6196
"Remsen village, New York: Summary level: 160, state:36> place:61115",167,16,16,21,10,20,6,30,25,36,36,44,28
"Sherrill city, New York: Summary level: 160, state:36> place:66993",1271,45,45,133,77,210,140,127,107,264,197,492,479
"Sylvan Beach village, New York: Summary level: 160, state:36> place:72521",346,18,12,53,36,45,34,81,41,71,65,78,75
"Yorkville village, New York: Summary level: 160, state:36> place:84099",1080,64,11,106,57,127,103,192,158,306,306,285,269
"Camillus village, New York: Summary level: 160, state:36> place:11902",563,39,17,63,40,94,78,94,62,159,146,114,98
"Fabius village, New York: Summary level: 160, state:36> place:24867",135,2,2,3,2,22,20,17,11,36,36,55,55
"Cape Vincent village, New York: Summary level: 160, state:36> place:12353",289,7,2,21,13,55,44,81,68,51,51,74,70
"West Bay Shore CDP, New York: Summary level: 160, state:36> place:79301",1632,30,21,28,9,73,49,96,89,186,175,1219,1158
"Portville village, New York: Summary level: 160, state:36> place:59498",424,3,0,84,48,96,39,49,42,105,75,87,87
"Alexandria Bay village, New York: Summary level: 160, state:36> place:01187",456,46,21,59,23,102,66,60,48,54,48,135,96
"Calcium CDP, New York: Summary level: 160, state:36> place:11671",1591,27,27,29,0,226,226,433,433,548,465,328,319
"Glen Park village, New York: Summary level: 160, state:36> place:29322",199,10,7,14,5,35,29,30,23,44,38,66,66
"Great Bend CDP, New York: Summary level: 160, state:36> place:30136",374,26,10,0,0,97,81,35,15,80,80,136,123
"Gilbertsville village, New York: Summary level: 160, state:36> place:28959",168,11,5,23,7,30,19,8,6,31,27,65,60
"Oneonta city, New York: Summary level: 160, state:36> place:54881",4322,566,464,557,290,697,548,565,449,760,651,1177,1090
"West End CDP, New York: Summary level: 160, state:36> place:79796",961,159,41,92,76,144,69,169,169,152,152,245,217
"Country Knolls CDP, New York: Summary level: 160, state:36> place:18542",775,0,0,19,19,60,49,35,17,96,96,565,565
"Galway village, New York: Summary level: 160, state:36> place:28101",80,10,10,6,6,2,2,15,15,28,19,19,19
"East Kingston CDP, New York: Summary level: 160, state:36> place:22370",230,11,11,23,0,67,41,58,58,42,42,29,29
"Kerhonkson CDP, New York: Summary level: 160, state:36> place:39397",720,81,58,56,20,107,71,83,72,180,124,213,177
"North Sea CDP, New York: Summary level: 160, state:36> place:53561",1887,98,44,53,21,136,90,199,115,294,209,1107,993
"Noyack CDP, New York: Summary level: 160, state:36> place:54056",1524,32,17,79,34,160,97,135,120,281,281,837,667
"Patchogue village, New York: Summary level: 160, state:36> place:56660",5250,354,188,484,226,669,550,467,387,663,577,2613,2421
"Peconic CDP, New York: Summary level: 160, state:36> place:56968",384,0,0,19,0,82,44,87,76,20,20,176,130
"Southold CDP, New York: Summary level: 160, state:36> place:69452",2493,53,53,235,122,183,94,255,255,337,239,1430,1319
"Oyster Bay Cove village, New York: Summary level: 160, state:36> place:56011",738,8,8,0,0,23,19,4,4,42,38,661,658
"Port Washington CDP, New York: Summary level: 160, state:36> place:59520",5713,220,205,206,135,435,305,341,300,567,541,3944,3828
"Roosevelt CDP, New York: Summary level: 160, state:36> place:63506",4292,220,163,266,146,310,215,538,381,730,642,2228,2068
"Russell Gardens village, New York: Summary level: 160, state:36> place:64232",324,6,3,10,6,6,6,31,29,26,13,245,230
"Uniondale CDP, New York: Summary level: 160, state:36> place:76089",7964,285,189,567,361,755,552,849,761,1315,1229,4193,4029
"University Gardens CDP, New York: Summary level: 160, state:36> place:76287",1615,69,7,59,52,118,97,137,120,187,168,1045,984
"West Hempstead CDP, New York: Summary level: 160, state:36> place:80225",5782,119,102,223,122,374,254,420,394,613,552,4033,3831
"Silver Springs village, New York: Summary level: 160, state:36> place:67466",384,52,24,82,43,62,32,51,32,67,52,70,62
"Cherry Creek village, New York: Summary level: 160, state:36> place:15187",177,9,4,17,10,39,33,25,24,26,11,61,52
"Fredonia village, New York: Summary level: 160, state:36> place:27419",3627,326,220,348,241,574,411,532,428,514,451,1333,1269
"Constableville village, New York: Summary level: 160, state:36> place:17882",108,3,3,6,6,22,18,17,13,38,31,22,21
"Copenhagen village, New York: Summary level: 160, state:36> place:18135",357,24,3,56,37,69,47,42,38,70,55,96,93
"Lyons Falls village, New York: Summary level: 160, state:36> place:44006",232,0,0,37,9,47,27,56,36,36,27,56,52
"Middleburgh village, New York: Summary level: 160, state:36> place:46866",704,59,31,74,21,66,45,142,102,121,100,242,230
"Richmondville village, New York: Summary level: 160, state:36> place:61588",334,22,14,41,25,31,22,53,38,76,70,111,75
"Ithaca city, New York: Summary level: 160, state:36> place:38077",10239,2408,1862,1437,849,1517,1210,966,884,1199,1072,2712,2607
"Fort Plain village, New York: Summary level: 160, state:36> place:26924",718,50,40,105,72,203,155,96,73,121,87,143,116
"Palatine Bridge village, New York: Summary level: 160, state:36> place:56110",275,22,14,58,26,59,39,29,23,41,38,66,64
"Beaver Dam Lake CDP, New York: Summary level: 160, state:36> place:05188",615,20,20,0,0,38,28,76,60,49,30,432,402
"Limestone CDP, New York: Summary level: 160, state:36> place:42378",177,4,4,28,14,35,35,18,15,20,20,72,57
"Lake Luzerne CDP, New York: Summary level: 160, state:36> place:40651",406,13,13,44,31,41,39,79,66,150,138,79,79
"Niskayuna CDP, New York: Summary level: 160, state:36> place:51262",1656,88,64,24,12,100,31,123,115,199,188,1122,1091
"West Valley CDP, New York: Summary level: 160, state:36> place:81138",193,24,19,0,0,17,13,38,38,45,41,69,64
"Williamson CDP, New York: Summary level: 160, state:36> place:82029",1043,102,40,192,82,185,132,119,90,116,96,329,230
"Willsboro CDP, New York: Summary level: 160, state:36> place:82260",345,33,25,52,9,31,19,61,54,116,110,52,52
"Wilmington CDP, New York: Summary level: 160, state:36> place:82304",350,10,9,45,25,37,17,46,37,81,58,131,117
"Winthrop CDP, New York: Summary level: 160, state:36> place:82612",66,0,0,0,0,9,9,19,19,0,0,38,38
"Witherbee CDP, New York: Summary level: 160, state:36> place:82656",129,0,0,13,13,53,53,21,21,42,33,0,0
"Woodsville CDP, New York: Summary level: 160, state:36> place:83063",36,0,0,0,0,8,3,6,3,8,8,14,14
"Hall CDP, New York: Summary level: 160, state:36> place:31533",65,0,0,0,0,5,0,22,22,22,16,16,11
"Hamlin CDP, New York: Summary level: 160, state:36> place:31786",2030,74,74,167,90,422,282,400,357,273,259,694,675
"Hannawa Falls CDP, New York: Summary level: 160, state:36> place:32006",370,19,14,79,36,19,16,29,15,56,45,168,168
"Hartwick CDP, New York: Summary level: 160, state:36> place:32578",250,0,0,24,19,28,22,40,23,42,31,116,89
"Hemlock CDP, New York: Summary level: 160, state:36> place:33128",194,0,0,44,44,32,32,16,16,92,92,10,10
"Henderson CDP, New York: Summary level: 160, state:36> place:34044",68,3,3,12,2,15,15,10,10,11,11,17,17
"Honeoye CDP, New York: Summary level: 160, state:36> place:35353",302,0,0,18,18,114,114,24,24,82,82,64,64
"Hortonville CDP, New York: Summary level: 160, state:36> place:35738",103,0,0,5,0,4,4,49,39,8,8,37,37
"Hunt CDP, New York: Summary level: 160, state:36> place:36156",48,8,3,9,0,4,0,1,1,13,6,13,13
"Hyde Park CDP, New York: Summary level: 160, state:36> place:37198",802,63,26,87,87,78,36,51,15,123,123,400,383
"Katonah CDP, New York: Summary level: 160, state:36> place:38946",650,0,0,25,15,7,0,31,31,28,17,559,554
"Kennedy CDP, New York: Summary level: 160, state:36> place:39243",172,22,22,24,0,38,9,14,14,40,29,34,34
"Keuka Park CDP, New York: Summary level: 160, state:36> place:39463",87,0,0,0,0,14,7,8,8,39,39,26,13
"Kysorville CDP, New York: Summary level: 160, state:36> place:40175",67,3,3,13,0,7,3,0,0,23,23,21,11
"Lakeville CDP, New York: Summary level: 160, state:36> place:41036",335,26,26,19,19,62,62,154,84,25,25,49,49
"Lime Lake CDP, New York: Summary level: 160, state:36> place:42345",303,7,0,24,4,52,14,51,35,118,84,51,47
"Linwood CDP, New York: Summary level: 160, state:36> place:42609",36,0,0,0,0,10,10,0,0,12,12,14,14
"Livonia Center CDP, New York: Summary level: 160, state:36> place:42972",141,0,0,0,0,18,18,11,11,15,15,97,97
"Long Lake CDP, New York: Summary level: 160, state:36> place:43401",120,6,6,9,7,19,15,9,7,33,31,44,42
"Lorraine CDP, New York: Summary level: 160, state:36> place:43533",40,2,2,3,3,8,6,3,3,21,12,3,3
"Machias CDP, New York: Summary level: 160, state:36> place:44226",166,18,18,11,0,27,27,57,55,21,16,32,26
"Madrid CDP, New York: Summary level: 160, state:36> place:44479",248,37,7,29,21,26,24,25,25,63,63,68,64
"Malden-on-Hudson CDP, New York: Summary level: 160, state:36> place:44677",142,0,0,0,0,11,0,78,33,26,26,27,27
"Marion CDP, New York: Summary level: 160, state:36> place:45634",661,113,10,47,21,84,21,138,80,128,109,151,109
"Sherburne village, New York: Summary level: 160, state:36> place:66883",680,37,23,139,55,112,84,80,45,135,119,177,177
"Farnham village, New York: Summary level: 160, state:36> place:25428",170,4,0,19,13,28,23,26,18,38,37,55,39
"Sherman village, New York: Summary level: 160, state:36> place:66949",300,32,15,60,14,58,39,56,44,33,30,61,42
"Sharon Springs village, New York: Summary level: 160, state:36> place:66663",213,14,6,52,18,26,13,35,24,40,33,46,41
"Greenvale CDP, New York: Summary level: 160, state:36> place:30598",469,0,0,0,0,21,21,65,65,12,12,371,371
"Island Park village, New York: Summary level: 160, state:36> place:37847",1610,24,0,125,75,186,173,99,99,251,218,925,847
"Saddle Rock village, New York: Summary level: 160, state:36> place:64430",236,6,3,0,0,25,25,14,14,16,13,175,169
"Cortland West CDP, New York: Summary level: 160, state:36> place:18443",530,12,12,0,0,36,0,46,46,119,119,317,300
"Angelica village, New York: Summary level: 160, state:36> place:02176",324,17,5,44,17,38,29,50,43,83,83,92,92
"East Meadow CDP, New York: Summary level: 160, state:36> place:22502",12217,320,152,565,270,919,556,926,719,1557,1334,7930,7673
"Massapequa CDP, New York: Summary level: 160, state:36> place:45986",7191,113,103,259,147,331,214,434,316,972,801,5082,4818
"Celoron village, New York: Summary level: 160, state:36> place:13288",454,44,8,82,53,109,50,57,50,121,87,41,36
"Prospect CDP, New York: Summary level: 160, state:36> place:59883",120,0,0,5,2,32,21,15,11,29,29,39,37
"Altmar CDP, New York: Summary level: 160, state:36> place:01550",150,20,10,18,16,20,18,53,51,16,15,23,20
"Forestville CDP, New York: Summary level: 160, state:36> place:26649",297,21,12,27,18,52,33,36,34,66,54,95,80
"Merritt Park CDP, New York: Summary level: 160, state:36> place:46750",603,0,0,13,13,23,23,42,42,81,81,444,441
"Mineville CDP, New York: Summary level: 160, state:36> place:47702",456,24,14,79,30,26,26,91,12,141,99,95,54
"Montrose CDP, New York: Summary level: 160, state:36> place:48208",1201,56,46,78,0,123,102,13,13,229,196,702,686
"Mountain Lodge Park CDP, New York: Summary level: 160, state:36> place:48750",674,37,0,51,0,81,66,76,76,31,31,398,365
"North Creek CDP, New York: Summary level: 160, state:36> place:51847",237,0,0,42,21,59,38,11,11,48,48,77,77
"North Gates CDP, New York: Summary level: 160, state:36> place:52040",4299,136,56,480,268,790,525,887,734,775,702,1231,1180
"North Rose CDP, New York: Summary level: 160, state:36> place:53462",220,22,0,40,28,46,14,39,34,39,28,34,34
"Oak Beach-Captree CDP, New York: Summary level: 160, state:36> place:54112",31,0,0,0,0,0,0,0,0,23,23,8,8
"Old Forge CDP, New York: Summary level: 160, state:36> place:54639",234,0,0,32,32,37,31,68,31,38,16,59,51
"Ontario CDP, New York: Summary level: 160, state:36> place:55002",971,0,0,259,164,115,58,186,131,192,139,219,219
"Oxbow CDP, New York: Summary level: 160, state:36> place:55937",34,2,2,0,0,10,7,11,11,2,2,9,6
"Pamelia Center CDP, New York: Summary level: 160, state:36> place:56212",186,0,0,30,30,0,0,9,9,21,21,126,115
"Parishville CDP, New York: Summary level: 160, state:36> place:56363",281,18,13,24,15,32,5,35,35,94,94,78,62
"Paul Smiths CDP, New York: Summary level: 160, state:36> place:56770",0,0,0,0,0,0,0,0,0,0,0,0,0
"Pavilion CDP, New York: Summary level: 160, state:36> place:56781",217,0,0,0,0,0,0,38,32,41,15,138,116
"Cherry Valley village, New York: Summary level: 160, state:36> place:15242",226,2,2,27,23,49,26,42,42,45,37,61,61
"Milford village, New York: Summary level: 160, state:36> place:47229",180,14,8,28,18,25,19,14,12,45,36,54,50
"Richfield Springs village, New York: Summary level: 160, state:36> place:61489",492,28,9,91,43,100,71,71,58,97,88,105,94
"North Hornell village, New York: Summary level: 160, state:36> place:53055",310,4,2,13,7,39,35,35,19,78,69,141,141
"Carmel Hamlet CDP, New York: Summary level: 160, state:36> place:12532",2433,93,45,198,79,139,95,209,190,335,265,1459,1399
"Mamaroneck village, New York: Summary level: 160, state:36> place:44831",7027,244,137,402,257,708,503,563,463,843,742,4267,4027
"Mount Vernon city, New York: Summary level: 160, state:36> place:49121",25248,2038,1137,2353,1236,3988,2111,2974,1990,4021,2798,9874,8529
"Peekskill city, New York: Summary level: 160, state:36> place:56979",9628,416,171,1140,481,1566,995,1240,1022,1736,1531,3530,3242
"Rye city, New York: Summary level: 160, state:36> place:64309",5573,181,124,219,130,262,194,272,226,470,436,4169,4057
"Scotts Corners CDP, New York: Summary level: 160, state:36> place:65948",296,0,0,0,0,55,20,8,0,8,8,225,225
"Tarrytown village, New York: Summary level: 160, state:36> place:73176",4413,110,95,169,98,433,321,280,266,508,428,2913,2853
"Johnstown city, New York: Summary level: 160, state:36> place:38781",3447,216,95,410,274,417,301,679,584,718,662,1007,910
"Central Square village, New York: Summary level: 160, state:36> place:13585",890,99,20,129,67,176,145,93,68,120,114,273,251
"Narrowsburg CDP, New York: Summary level: 160, state:36> place:49473",173,3,3,16,13,49,25,45,45,26,20,34,31
"Roscoe CDP, New York: Summary level: 160, state:36> place:63583",249,0,0,33,19,19,0,80,34,44,12,73,73
"Gardnertown CDP, New York: Summary level: 160, state:36> place:28310",1697,34,11,60,39,129,75,208,181,451,357,815,749
"Otisville village, New York: Summary level: 160, state:36> place:55673",403,30,8,20,12,32,22,25,25,99,86,197,184
"Port Jervis city, New York: Summary level: 160, state:36> place:59388",3897,418,217,576,287,801,400,487,295,526,381,1089,854
"Manorville CDP, New York: Summary level: 160, state:36> place:45139",4926,190,104,271,173,768,576,253,253,630,579,2814,2723
"Huntington Bay village, New York: Summary level: 160, state:36> place:37022",522,10,10,19,19,30,27,28,26,35,35,400,397
"Islip CDP, New York: Summary level: 160, state:36> place:37869",5934,155,83,193,182,514,348,345,175,765,674,3962,3765
"Islip Terrace CDP, New York: Summary level: 160, state:36> place:38022",1610,43,43,24,0,105,67,79,72,279,270,1080,1041
"Moriches CDP, New York: Summary level: 160, state:36> place:48450",1548,20,20,63,63,182,182,286,214,456,428,541,523
"Mount Sinai CDP, New York: Summary level: 160, state:36> place:49066",4024,81,51,176,139,233,164,299,208,455,409,2780,2638
"North Great River CDP, New York: Summary level: 160, state:36> place:52078",1327,80,69,38,22,126,101,101,84,217,210,765,740
"Port Jefferson Station CDP, New York: Summary level: 160, state:36> place:59377",2702,70,70,170,111,215,51,262,240,354,326,1631,1553
"Remsenburg-Speonk CDP, New York: Summary level: 160, state:36> place:61142",846,34,34,14,14,76,31,123,82,124,115,475,354
"St. James CDP, New York: Summary level: 160, state:36> place:64584",4687,161,123,216,113,375,256,232,174,663,622,3040,2932
"Shelter Island CDP, New York: Summary level: 160, state:36> place:66828",755,0,0,62,49,83,0,52,10,50,50,508,444
"Shirley CDP, New York: Summary level: 160, state:36> place:67070",8406,369,330,298,235,660,482,840,741,1570,1299,4669,4454
"Shoreham village, New York: Summary level: 160, state:36> place:67191",162,9,9,3,3,7,5,15,9,8,8,120,120
"Loch Sheldrake CDP, New York: Summary level: 160, state:36> place:43038",336,52,28,27,27,103,87,39,39,48,48,67,67
"Quiogue CDP, New York: Summary level: 160, state:36> place:60408",340,34,0,9,9,31,22,47,47,27,27,192,116
"Mastic Beach village, New York: Summary level: 160, state:36> place:46085",4117,88,88,371,278,429,280,552,397,857,672,1820,1687
"Odessa village, New York: Summary level: 160, state:36> place:54452",225,10,8,34,24,39,30,28,16,48,40,66,66
"Watkins Glen village, New York: Summary level: 160, state:36> place:78696",835,57,52,116,55,152,120,133,92,96,96,281,281
"Interlaken village, New York: Summary level: 160, state:36> place:37528",237,9,2,12,7,33,28,54,36,41,39,88,82
"Belmont village, New York: Summary level: 160, state:36> place:05815",377,26,6,64,33,78,52,61,54,46,46,102,99
"Holland CDP, New York: Summary level: 160, state:36> place:35111",509,25,15,105,11,60,35,62,54,83,83,174,138
"Lackawanna city, New York: Summary level: 160, state:36> place:40189",7426,552,173,1357,619,1627,839,1136,926,1457,1178,1297,1209
"Orchard Park village, New York: Summary level: 160, state:36> place:55266",1396,42,34,47,17,103,94,235,205,168,159,801,777
"West Seneca CDP, New York: Summary level: 160, state:36> place:80907",19753,717,393,1584,750,2692,1637,2329,1746,3817,3301,8614,8288
"Burdett village, New York: Summary level: 160, state:36> place:11132",184,6,0,17,15,22,15,33,26,42,39,64,59
"East Ithaca CDP, New York: Summary level: 160, state:36> place:22326",987,149,137,25,25,152,101,158,158,146,146,357,357
"Groton village, New York: Summary level: 160, state:36> place:30961",835,77,39,52,18,171,69,111,90,174,166,250,245
"Lansing village, New York: Summary level: 160, state:36> place:41223",1639,199,199,118,111,138,138,258,258,338,338,588,563
"West Hills CDP, New York: Summary level: 160, state:36> place:80258",1852,10,10,17,10,99,99,79,68,255,221,1392,1337
"Ardsley village, New York: Summary level: 160, state:36> place:02506",1638,24,24,11,11,61,16,105,61,145,118,1292,1190
"Croton-on-Hudson village, New York: Summary level: 160, state:36> place:19213",3027,67,30,140,93,148,118,192,186,353,317,2127,1994
"Pelham village, New York: Summary level: 160, state:36> place:57001",2249,21,21,21,12,165,139,168,128,335,247,1539,1470
"Arcade village, New York: Summary level: 160, state:36> place:02407",978,67,44,141,79,197,125,133,98,149,137,291,277
"Rapids CDP, New York: Summary level: 160, state:36> place:60609",469,11,11,49,0,55,10,102,89,32,16,220,212
"Mahopac CDP, New York: Summary level: 160, state:36> place:44534",3120,51,51,283,112,347,295,228,177,514,469,1697,1656
"Shenorock CDP, New York: Summary level: 160, state:36> place:66872",754,0,0,13,13,62,50,38,38,125,100,516,516
"Dundee village, New York: Summary level: 160, state:36> place:21050",697,76,47,117,59,140,110,81,71,131,131,152,144
"Richburg village, New York: Summary level: 160, state:36> place:61434",163,4,0,22,8,47,25,35,20,25,25,30,30
"Cassadaga village, New York: Summary level: 160, state:36> place:12749",242,9,7,36,17,50,28,30,26,48,34,69,62
"Lakewood village, New York: Summary level: 160, state:36> place:41069",1407,34,8,198,62,283,247,208,87,235,200,449,439
"Westfield village, New York: Summary level: 160, state:36> place:79939",1261,83,67,229,62,201,138,231,146,206,178,311,289
"Binghamton University CDP, New York: Summary level: 160, state:36> place:06644",8,0,0,0,0,0,0,0,0,0,0,8,8
"Bedford Hills CDP, New York: Summary level: 160, state:36> place:05342",1268,30,30,37,24,227,129,229,147,295,235,450,450
"Belfast CDP, New York: Summary level: 160, state:36> place:05562",291,20,6,29,11,29,14,57,50,88,77,68,64
"Belleville CDP, New York: Summary level: 160, state:36> place:05683",126,0,0,0,0,9,9,29,5,23,23,65,28
"Melrose Park CDP, New York: Summary level: 160, state:36> place:46503",832,31,23,35,26,90,80,87,87,63,63,526,485
"Meridian village, New York: Summary level: 160, state:36> place:46646",102,1,1,2,1,6,4,11,9,25,22,57,47
"Voorheesville village, New York: Summary level: 160, state:36> place:77684",1097,34,29,62,62,63,58,43,38,187,172,708,681
"Westmere CDP, New York: Summary level: 160, state:36> place:80423",3173,136,136,160,47,431,247,308,199,817,681,1321,1260
"Angola village, New York: Summary level: 160, state:36> place:02198",844,24,18,58,28,154,116,165,132,161,135,282,249
"Clarence Center CDP, New York: Summary level: 160, state:36> place:15836",1033,13,0,9,0,27,27,7,0,142,107,835,820
"Gowanda village, New York: Summary level: 160, state:36> place:29630",1191,88,51,170,73,250,159,213,158,216,141,254,218
"North Boston CDP, New York: Summary level: 160, state:36> place:51583",1229,28,28,150,128,135,93,156,143,223,187,537,510
"Dunkirk city, New York: Summary level: 160, state:36> place:21105",5182,438,262,879,459,1282,857,813,592,846,729,924,767
"Panama village, New York: Summary level: 160, state:36> place:56231",180,7,1,34,10,45,29,35,28,23,23,36,32
"Croghan village, New York: Summary level: 160, state:36> place:19070",267,15,11,45,9,58,28,15,7,50,41,84,84
"Lowville village, New York: Summary level: 160, state:36> place:43720",1338,46,9,272,168,211,116,226,152,98,94,485,447
