,Total,Owner occupied,Renter occupied
"Youngstown village, New York: Summary level: 160, state:36> place:84143",802,637,165
"Almond village, New York: Summary level: 160, state:36> place:01440",177,138,39
"Canisteo village, New York: Summary level: 160, state:36> place:12254",893,639,254
"Corning city, New York: Summary level: 160, state:36> place:18256",5069,2589,2480
"Sleepy Hollow village, New York: Summary level: 160, state:36> place:67638",3670,1274,2396
"Bellerose Terrace CDP, New York: Summary level: 160, state:36> place:05661",572,496,76
"Cove Neck village, New York: Summary level: 160, state:36> place:18597",101,78,23
"Baldwinsville village, New York: Summary level: 160, state:36> place:04198",3210,1871,1339
"Galeville CDP, New York: Summary level: 160, state:36> place:28035",1952,1365,587
"Valatie village, New York: Summary level: 160, state:36> place:76617",559,377,182
"Ghent CDP, New York: Summary level: 160, state:36> place:28860",164,151,13
"Kinderhook village, New York: Summary level: 160, state:36> place:39562",656,557,99
"Lorenz Park CDP, New York: Summary level: 160, state:36> place:43511",953,672,281
"Fairport village, New York: Summary level: 160, state:36> place:25076",2477,1800,677
"Hilton village, New York: Summary level: 160, state:36> place:34847",2295,1482,813
"Pittsford village, New York: Summary level: 160, state:36> place:58354",729,517,212
"Plainedge CDP, New York: Summary level: 160, state:36> place:58409",2972,2651,321
"Rockville Centre village, New York: Summary level: 160, state:36> place:63264",9458,6598,2860
"Remsen village, New York: Summary level: 160, state:36> place:61115",167,97,70
"Sherrill city, New York: Summary level: 160, state:36> place:66993",1271,966,305
"Sylvan Beach village, New York: Summary level: 160, state:36> place:72521",346,249,97
"Yorkville village, New York: Summary level: 160, state:36> place:84099",1080,692,388
"Camillus village, New York: Summary level: 160, state:36> place:11902",563,299,264
"Fabius village, New York: Summary level: 160, state:36> place:24867",135,103,32
"Cape Vincent village, New York: Summary level: 160, state:36> place:12353",289,201,88
"West Bay Shore CDP, New York: Summary level: 160, state:36> place:79301",1632,1580,52
"Portville village, New York: Summary level: 160, state:36> place:59498",424,216,208
"Alexandria Bay village, New York: Summary level: 160, state:36> place:01187",456,253,203
"Calcium CDP, New York: Summary level: 160, state:36> place:11671",1591,257,1334
"Glen Park village, New York: Summary level: 160, state:36> place:29322",199,150,49
"Great Bend CDP, New York: Summary level: 160, state:36> place:30136",374,294,80
"Gilbertsville village, New York: Summary level: 160, state:36> place:28959",168,109,59
"Oneonta city, New York: Summary level: 160, state:36> place:54881",4322,1971,2351
"West End CDP, New York: Summary level: 160, state:36> place:79796",961,720,241
"Country Knolls CDP, New York: Summary level: 160, state:36> place:18542",775,764,11
"Galway village, New York: Summary level: 160, state:36> place:28101",80,57,23
"East Kingston CDP, New York: Summary level: 160, state:36> place:22370",230,130,100
"Kerhonkson CDP, New York: Summary level: 160, state:36> place:39397",720,448,272
"North Sea CDP, New York: Summary level: 160, state:36> place:53561",1887,1514,373
"Noyack CDP, New York: Summary level: 160, state:36> place:54056",1524,1270,254
"Patchogue village, New York: Summary level: 160, state:36> place:56660",5250,2691,2559
"Peconic CDP, New York: Summary level: 160, state:36> place:56968",384,331,53
"Southold CDP, New York: Summary level: 160, state:36> place:69452",2493,2090,403
"Oyster Bay Cove village, New York: Summary level: 160, state:36> place:56011",738,708,30
"Port Washington CDP, New York: Summary level: 160, state:36> place:59520",5713,4128,1585
"Roosevelt CDP, New York: Summary level: 160, state:36> place:63506",4292,3127,1165
"Russell Gardens village, New York: Summary level: 160, state:36> place:64232",324,263,61
"Uniondale CDP, New York: Summary level: 160, state:36> place:76089",7964,5582,2382
"University Gardens CDP, New York: Summary level: 160, state:36> place:76287",1615,1236,379
"West Hempstead CDP, New York: Summary level: 160, state:36> place:80225",5782,5035,747
"Silver Springs village, New York: Summary level: 160, state:36> place:67466",384,239,145
"Cherry Creek village, New York: Summary level: 160, state:36> place:15187",177,137,40
"Fredonia village, New York: Summary level: 160, state:36> place:27419",3627,2331,1296
"Constableville village, New York: Summary level: 160, state:36> place:17882",108,98,10
"Copenhagen village, New York: Summary level: 160, state:36> place:18135",357,182,175
"Lyons Falls village, New York: Summary level: 160, state:36> place:44006",232,167,65
"Middleburgh village, New York: Summary level: 160, state:36> place:46866",704,453,251
"Richmondville village, New York: Summary level: 160, state:36> place:61588",334,184,150
"Ithaca city, New York: Summary level: 160, state:36> place:38077",10239,2703,7536
"Fort Plain village, New York: Summary level: 160, state:36> place:26924",718,403,315
"Palatine Bridge village, New York: Summary level: 160, state:36> place:56110",275,154,121
"Beaver Dam Lake CDP, New York: Summary level: 160, state:36> place:05188",615,557,58
"Limestone CDP, New York: Summary level: 160, state:36> place:42378",177,119,58
"Lake Luzerne CDP, New York: Summary level: 160, state:36> place:40651",406,293,113
"Niskayuna CDP, New York: Summary level: 160, state:36> place:51262",1656,1416,240
"West Valley CDP, New York: Summary level: 160, state:36> place:81138",193,164,29
"Williamson CDP, New York: Summary level: 160, state:36> place:82029",1043,607,436
"Willsboro CDP, New York: Summary level: 160, state:36> place:82260",345,243,102
"Wilmington CDP, New York: Summary level: 160, state:36> place:82304",350,285,65
"Winthrop CDP, New York: Summary level: 160, state:36> place:82612",66,31,35
"Witherbee CDP, New York: Summary level: 160, state:36> place:82656",129,108,21
"Woodsville CDP, New York: Summary level: 160, state:36> place:83063",36,31,5
"Hall CDP, New York: Summary level: 160, state:36> place:31533",65,65,0
"Hamlin CDP, New York: Summary level: 160, state:36> place:31786",2030,1777,253
"Hannawa Falls CDP, New York: Summary level: 160, state:36> place:32006",370,295,75
"Hartwick CDP, New York: Summary level: 160, state:36> place:32578",250,191,59
"Hemlock CDP, New York: Summary level: 160, state:36> place:33128",194,163,31
"Henderson CDP, New York: Summary level: 160, state:36> place:34044",68,41,27
"Honeoye CDP, New York: Summary level: 160, state:36> place:35353",302,125,177
"Hortonville CDP, New York: Summary level: 160, state:36> place:35738",103,55,48
"Hunt CDP, New York: Summary level: 160, state:36> place:36156",48,48,0
"Hyde Park CDP, New York: Summary level: 160, state:36> place:37198",802,583,219
"Katonah CDP, New York: Summary level: 160, state:36> place:38946",650,546,104
"Kennedy CDP, New York: Summary level: 160, state:36> place:39243",172,130,42
"Keuka Park CDP, New York: Summary level: 160, state:36> place:39463",87,47,40
"Kysorville CDP, New York: Summary level: 160, state:36> place:40175",67,67,0
"Lakeville CDP, New York: Summary level: 160, state:36> place:41036",335,194,141
"Lime Lake CDP, New York: Summary level: 160, state:36> place:42345",303,228,75
"Linwood CDP, New York: Summary level: 160, state:36> place:42609",36,26,10
"Livonia Center CDP, New York: Summary level: 160, state:36> place:42972",141,141,0
"Long Lake CDP, New York: Summary level: 160, state:36> place:43401",120,112,8
"Lorraine CDP, New York: Summary level: 160, state:36> place:43533",40,37,3
"Machias CDP, New York: Summary level: 160, state:36> place:44226",166,113,53
"Madrid CDP, New York: Summary level: 160, state:36> place:44479",248,151,97
"Malden-on-Hudson CDP, New York: Summary level: 160, state:36> place:44677",142,90,52
"Marion CDP, New York: Summary level: 160, state:36> place:45634",661,398,263
"Sherburne village, New York: Summary level: 160, state:36> place:66883",680,337,343
"Farnham village, New York: Summary level: 160, state:36> place:25428",170,136,34
"Sherman village, New York: Summary level: 160, state:36> place:66949",300,202,98
"Sharon Springs village, New York: Summary level: 160, state:36> place:66663",213,121,92
"Greenvale CDP, New York: Summary level: 160, state:36> place:30598",469,308,161
"Island Park village, New York: Summary level: 160, state:36> place:37847",1610,1016,594
"Saddle Rock village, New York: Summary level: 160, state:36> place:64430",236,219,17
"Cortland West CDP, New York: Summary level: 160, state:36> place:18443",530,530,0
"Angelica village, New York: Summary level: 160, state:36> place:02176",324,251,73
"East Meadow CDP, New York: Summary level: 160, state:36> place:22502",12217,10741,1476
"Massapequa CDP, New York: Summary level: 160, state:36> place:45986",7191,6809,382
"Celoron village, New York: Summary level: 160, state:36> place:13288",454,281,173
"Prospect CDP, New York: Summary level: 160, state:36> place:59883",120,113,7
"Altmar CDP, New York: Summary level: 160, state:36> place:01550",150,98,52
"Forestville CDP, New York: Summary level: 160, state:36> place:26649",297,233,64
"Merritt Park CDP, New York: Summary level: 160, state:36> place:46750",603,491,112
"Mineville CDP, New York: Summary level: 160, state:36> place:47702",456,374,82
"Montrose CDP, New York: Summary level: 160, state:36> place:48208",1201,863,338
"Mountain Lodge Park CDP, New York: Summary level: 160, state:36> place:48750",674,514,160
"North Creek CDP, New York: Summary level: 160, state:36> place:51847",237,147,90
"North Gates CDP, New York: Summary level: 160, state:36> place:52040",4299,2617,1682
"North Rose CDP, New York: Summary level: 160, state:36> place:53462",220,166,54
"Oak Beach-Captree CDP, New York: Summary level: 160, state:36> place:54112",31,31,0
"Old Forge CDP, New York: Summary level: 160, state:36> place:54639",234,186,48
"Ontario CDP, New York: Summary level: 160, state:36> place:55002",971,616,355
"Oxbow CDP, New York: Summary level: 160, state:36> place:55937",34,32,2
"Pamelia Center CDP, New York: Summary level: 160, state:36> place:56212",186,152,34
"Parishville CDP, New York: Summary level: 160, state:36> place:56363",281,174,107
"Paul Smiths CDP, New York: Summary level: 160, state:36> place:56770",0,0,0
"Pavilion CDP, New York: Summary level: 160, state:36> place:56781",217,154,63
"Cherry Valley village, New York: Summary level: 160, state:36> place:15242",226,150,76
"Milford village, New York: Summary level: 160, state:36> place:47229",180,105,75
"Richfield Springs village, New York: Summary level: 160, state:36> place:61489",492,265,227
"North Hornell village, New York: Summary level: 160, state:36> place:53055",310,280,30
"Carmel Hamlet CDP, New York: Summary level: 160, state:36> place:12532",2433,1836,597
"Mamaroneck village, New York: Summary level: 160, state:36> place:44831",7027,4001,3026
"Mount Vernon city, New York: Summary level: 160, state:36> place:49121",25248,9642,15606
"Peekskill city, New York: Summary level: 160, state:36> place:56979",9628,4567,5061
"Rye city, New York: Summary level: 160, state:36> place:64309",5573,4194,1379
"Scotts Corners CDP, New York: Summary level: 160, state:36> place:65948",296,231,65
"Tarrytown village, New York: Summary level: 160, state:36> place:73176",4413,2709,1704
"Johnstown city, New York: Summary level: 160, state:36> place:38781",3447,2075,1372
"Central Square village, New York: Summary level: 160, state:36> place:13585",890,488,402
"Narrowsburg CDP, New York: Summary level: 160, state:36> place:49473",173,124,49
"Roscoe CDP, New York: Summary level: 160, state:36> place:63583",249,211,38
"Gardnertown CDP, New York: Summary level: 160, state:36> place:28310",1697,1410,287
"Otisville village, New York: Summary level: 160, state:36> place:55673",403,323,80
"Port Jervis city, New York: Summary level: 160, state:36> place:59388",3897,1907,1990
"Manorville CDP, New York: Summary level: 160, state:36> place:45139",4926,3983,943
"Huntington Bay village, New York: Summary level: 160, state:36> place:37022",522,487,35
"Islip CDP, New York: Summary level: 160, state:36> place:37869",5934,5158,776
"Islip Terrace CDP, New York: Summary level: 160, state:36> place:38022",1610,1409,201
"Moriches CDP, New York: Summary level: 160, state:36> place:48450",1548,710,838
"Mount Sinai CDP, New York: Summary level: 160, state:36> place:49066",4024,3784,240
"North Great River CDP, New York: Summary level: 160, state:36> place:52078",1327,1017,310
"Port Jefferson Station CDP, New York: Summary level: 160, state:36> place:59377",2702,1991,711
"Remsenburg-Speonk CDP, New York: Summary level: 160, state:36> place:61142",846,713,133
"St. James CDP, New York: Summary level: 160, state:36> place:64584",4687,4289,398
"Shelter Island CDP, New York: Summary level: 160, state:36> place:66828",755,632,123
"Shirley CDP, New York: Summary level: 160, state:36> place:67070",8406,6855,1551
"Shoreham village, New York: Summary level: 160, state:36> place:67191",162,157,5
"Loch Sheldrake CDP, New York: Summary level: 160, state:36> place:43038",336,224,112
"Quiogue CDP, New York: Summary level: 160, state:36> place:60408",340,241,99
"Mastic Beach village, New York: Summary level: 160, state:36> place:46085",4117,2963,1154
"Odessa village, New York: Summary level: 160, state:36> place:54452",225,167,58
"Watkins Glen village, New York: Summary level: 160, state:36> place:78696",835,540,295
"Interlaken village, New York: Summary level: 160, state:36> place:37528",237,192,45
"Belmont village, New York: Summary level: 160, state:36> place:05815",377,246,131
"Holland CDP, New York: Summary level: 160, state:36> place:35111",509,354,155
"Lackawanna city, New York: Summary level: 160, state:36> place:40189",7426,3854,3572
"Orchard Park village, New York: Summary level: 160, state:36> place:55266",1396,987,409
"West Seneca CDP, New York: Summary level: 160, state:36> place:80907",19753,15177,4576
"Burdett village, New York: Summary level: 160, state:36> place:11132",184,159,25
"East Ithaca CDP, New York: Summary level: 160, state:36> place:22326",987,532,455
"Groton village, New York: Summary level: 160, state:36> place:30961",835,537,298
"Lansing village, New York: Summary level: 160, state:36> place:41223",1639,510,1129
"West Hills CDP, New York: Summary level: 160, state:36> place:80258",1852,1761,91
"Ardsley village, New York: Summary level: 160, state:36> place:02506",1638,1344,294
"Croton-on-Hudson village, New York: Summary level: 160, state:36> place:19213",3027,2189,838
"Pelham village, New York: Summary level: 160, state:36> place:57001",2249,1499,750
"Arcade village, New York: Summary level: 160, state:36> place:02407",978,629,349
"Rapids CDP, New York: Summary level: 160, state:36> place:60609",469,422,47
"Mahopac CDP, New York: Summary level: 160, state:36> place:44534",3120,2171,949
"Shenorock CDP, New York: Summary level: 160, state:36> place:66872",754,657,97
"Dundee village, New York: Summary level: 160, state:36> place:21050",697,416,281
"Richburg village, New York: Summary level: 160, state:36> place:61434",163,125,38
"Cassadaga village, New York: Summary level: 160, state:36> place:12749",242,176,66
"Lakewood village, New York: Summary level: 160, state:36> place:41069",1407,881,526
"Westfield village, New York: Summary level: 160, state:36> place:79939",1261,824,437
"Binghamton University CDP, New York: Summary level: 160, state:36> place:06644",8,8,0
"Bedford Hills CDP, New York: Summary level: 160, state:36> place:05342",1268,502,766
"Belfast CDP, New York: Summary level: 160, state:36> place:05562",291,192,99
"Belleville CDP, New York: Summary level: 160, state:36> place:05683",126,98,28
"Melrose Park CDP, New York: Summary level: 160, state:36> place:46503",832,765,67
"Meridian village, New York: Summary level: 160, state:36> place:46646",102,78,24
"Voorheesville village, New York: Summary level: 160, state:36> place:77684",1097,931,166
"Westmere CDP, New York: Summary level: 160, state:36> place:80423",3173,1694,1479
"Angola village, New York: Summary level: 160, state:36> place:02198",844,536,308
"Clarence Center CDP, New York: Summary level: 160, state:36> place:15836",1033,1024,9
"Gowanda village, New York: Summary level: 160, state:36> place:29630",1191,705,486
"North Boston CDP, New York: Summary level: 160, state:36> place:51583",1229,887,342
"Dunkirk city, New York: Summary level: 160, state:36> place:21105",5182,3111,2071
"Panama village, New York: Summary level: 160, state:36> place:56231",180,101,79
"Croghan village, New York: Summary level: 160, state:36> place:19070",267,187,80
"Lowville village, New York: Summary level: 160, state:36> place:43720",1338,807,531
"Montour Falls village, New York: Summary level: 160, state:36> place:48197",682,381,301
"Lodi village, New York: Summary level: 160, state:36> place:43214",153,98,55
"Waterloo village, New York: Summary level: 160, state:36> place:78553",1991,1478,513
"Alfred village, New York: Summary level: 160, state:36> place:01198",382,127,255
"Canaseraga village, New York: Summary level: 160, state:36> place:12177",207,164,43
"Houghton CDP, New York: Summary level: 160, state:36> place:35771",282,172,110
"Hamilton village, New York: Summary level: 160, state:36> place:31709",823,457,366
"East Moriches CDP, New York: Summary level: 160, state:36> place:22546",1838,1521,317
"Farmingville CDP, New York: Summary level: 160, state:36> place:25417",4599,4052,547
"Fishers Island CDP, New York: Summary level: 160, state:36> place:25923",73,49,24
"Fort Salonga CDP, New York: Summary level: 160, state:36> place:26946",3336,3138,198
"Gordon Heights CDP, New York: Summary level: 160, state:36> place:29509",1010,748,262
"Holbrook CDP, New York: Summary level: 160, state:36> place:35056",8854,7090,1764
"Stewart Manor village, New York: Summary level: 160, state:36> place:71267",778,725,53
"Port Leyden village, New York: Summary level: 160, state:36> place:59454",244,151,93
"Point Lookout CDP, New York: Summary level: 160, state:36> place:58849",420,312,108
"Roslyn Estates village, New York: Summary level: 160, state:36> place:63792",409,396,13
"Roslyn Heights CDP, New York: Summary level: 160, state:36> place:63814",2083,1684,399
"Saddle Rock Estates CDP, New York: Summary level: 160, state:36> place:64441",158,158,0
"Syosset CDP, New York: Summary level: 160, state:36> place:72554",6216,5685,531
"Wantagh CDP, New York: Summary level: 160, state:36> place:78146",5845,5490,355
"Boonville village, New York: Summary level: 160, state:36> place:07355",833,503,330
"Camden village, New York: Summary level: 160, state:36> place:11847",1110,552,558
"Utica city, New York: Summary level: 160, state:36> place:76540",23520,11250,12270
"East Syracuse village, New York: Summary level: 160, state:36> place:23052",1348,575,773
"Elbridge village, New York: Summary level: 160, state:36> place:23789",398,315,83
"Akron village, New York: Summary level: 160, state:36> place:00441",1228,644,584
"Billington Heights CDP, New York: Summary level: 160, state:36> place:06574",704,643,61
"Depew village, New York: Summary level: 160, state:36> place:20313",6669,4754,1915
"East Aurora village, New York: Summary level: 160, state:36> place:21589",2576,1741,835
"Eden CDP, New York: Summary level: 160, state:36> place:23404",1280,1096,184
"Naples village, New York: Summary level: 160, state:36> place:49429",438,273,165
"Northwest Ithaca CDP, New York: Summary level: 160, state:36> place:53853",537,277,260
"Woodridge village, New York: Summary level: 160, state:36> place:82953",301,111,190
"Heritage Hills CDP, New York: Summary level: 160, state:36> place:34118",2373,2083,290
"Lyndonville village, New York: Summary level: 160, state:36> place:43918",301,215,86
"Eatons Neck CDP, New York: Summary level: 160, state:36> place:23316",530,517,13
"Batavia city, New York: Summary level: 160, state:36> place:04715",6129,3228,2901
"Hastings-on-Hudson village, New York: Summary level: 160, state:36> place:32710",2860,2195,665
"Blue Point CDP, New York: Summary level: 160, state:36> place:07069",1577,1410,167
"Cobleskill village, New York: Summary level: 160, state:36> place:16628",1468,495,973
"Esperance village, New York: Summary level: 160, state:36> place:24713",148,122,26
"Schoharie village, New York: Summary level: 160, state:36> place:65585",354,199,155
"Bainbridge village, New York: Summary level: 160, state:36> place:04033",613,381,232
"New Berlin village, New York: Summary level: 160, state:36> place:49946",398,276,122
"Friendship CDP, New York: Summary level: 160, state:36> place:27694",477,343,134
"Greene village, New York: Summary level: 160, state:36> place:30411",775,439,336
"Munnsville village, New York: Summary level: 160, state:36> place:49220",168,107,61
"Wampsville village, New York: Summary level: 160, state:36> place:78113",197,179,18
"Brookville village, New York: Summary level: 160, state:36> place:10132",829,775,54
"East Norwich CDP, New York: Summary level: 160, state:36> place:22623",984,928,56
"Franklin Square CDP, New York: Summary level: 160, state:36> place:27309",9580,7973,1607
"Harbor Hills CDP, New York: Summary level: 160, state:36> place:32094",145,145,0
"Hempstead village, New York: Summary level: 160, state:36> place:33139",15703,6871,8832
"Herricks CDP, New York: Summary level: 160, state:36> place:34198",1299,1259,40
"Hewlett CDP, New York: Summary level: 160, state:36> place:34286",2407,1839,568
"Lakeview CDP, New York: Summary level: 160, state:36> place:41003",1490,1336,154
"Manhasset Hills CDP, New York: Summary level: 160, state:36> place:44908",1116,1089,27
"North Bellmore CDP, New York: Summary level: 160, state:36> place:51517",6469,5731,738
"North Massapequa CDP, New York: Summary level: 160, state:36> place:53253",6189,5917,272
"Antwerp village, New York: Summary level: 160, state:36> place:02286",221,176,45
"Southampton village, New York: Summary level: 160, state:36> place:68462",1352,1044,308
"Olean city, New York: Summary level: 160, state:36> place:54716",6158,3179,2979
"Yorkshire CDP, New York: Summary level: 160, state:36> place:84044",573,423,150
"Schuylerville village, New York: Summary level: 160, state:36> place:65750",614,318,296
"Glens Falls city, New York: Summary level: 160, state:36> place:29333",6466,3277,3189
"Jamesport CDP, New York: Summary level: 160, state:36> place:38253",446,415,31
"Lake Ronkonkoma CDP, New York: Summary level: 160, state:36> place:40838",6770,4999,1771
"Mastic CDP, New York: Summary level: 160, state:36> place:46074",4079,3224,855
"North Bay Shore CDP, New York: Summary level: 160, state:36> place:51495",4347,3219,1128
"North Haven village, New York: Summary level: 160, state:36> place:52188",383,363,20
"Port Jefferson village, New York: Summary level: 160, state:36> place:59355",3030,2065,965
"Riverside CDP, New York: Summary level: 160, state:36> place:62066",512,371,141
"Selden CDP, New York: Summary level: 160, state:36> place:66212",6214,4866,1348
"Smithtown CDP, New York: Summary level: 160, state:36> place:67851",8888,7683,1205
"Sound Beach CDP, New York: Summary level: 160, state:36> place:68374",2737,2525,212
"Westhampton CDP, New York: Summary level: 160, state:36> place:80170",983,787,196
"Westhampton Beach village, New York: Summary level: 160, state:36> place:80181",721,532,189
"Salamanca city, New York: Summary level: 160, state:36> place:64749",2170,1098,1072
"Poquott village, New York: Summary level: 160, state:36> place:59157",346,326,20
"Rocky Point CDP, New York: Summary level: 160, state:36> place:63319",4491,3764,727
"Shelter Island Heights CDP, New York: Summary level: 160, state:36> place:66850",450,404,46
"Stony Brook CDP, New York: Summary level: 160, state:36> place:71608",4487,4125,362
"Jordan village, New York: Summary level: 160, state:36> place:38825",572,377,195
"Lyncourt CDP, New York: Summary level: 160, state:36> place:43885",1707,1185,522
"Manlius village, New York: Summary level: 160, state:36> place:45018",1985,1244,741
"Minoa village, New York: Summary level: 160, state:36> place:47757",1370,961,409
"Nedrow CDP, New York: Summary level: 160, state:36> place:49726",945,875,70
"Seneca Knolls CDP, New York: Summary level: 160, state:36> place:66366",932,825,107
"Castile village, New York: Summary level: 160, state:36> place:12771",407,289,118
"Fort Johnson village, New York: Summary level: 160, state:36> place:26880",259,219,40
"Tribes Hill CDP, New York: Summary level: 160, state:36> place:75341",377,298,79
"Delanson village, New York: Summary level: 160, state:36> place:20082",106,73,33
"Rotterdam CDP, New York: Summary level: 160, state:36> place:63924",7210,5729,1481
"Brewerton CDP, New York: Summary level: 160, state:36> place:08059",1660,939,721
"Broadalbin village, New York: Summary level: 160, state:36> place:08422",617,384,233
"East Rochester village, New York: Summary level: 160, state:36> place:22865",2834,1757,1077
"Plattsburgh West CDP, New York: Summary level: 160, state:36> place:58601",582,466,116
"La Fargeville CDP, New York: Summary level: 160, state:36> place:40233",201,183,18
"Great Neck Estates village, New York: Summary level: 160, state:36> place:30191",966,870,96
"New Hyde Park village, New York: Summary level: 160, state:36> place:50397",2798,2299,499
"Callicoon CDP, New York: Summary level: 160, state:36> place:11748",140,87,53
"Hillburn village, New York: Summary level: 160, state:36> place:34660",295,196,99
"Valley Cottage CDP, New York: Summary level: 160, state:36> place:76661",3452,2932,520
"West Winfield village, New York: Summary level: 160, state:36> place:81292",353,254,99
"Red Hook village, New York: Summary level: 160, state:36> place:60895",830,404,426
"Thiells CDP, New York: Summary level: 160, state:36> place:73583",1514,1399,115
"Adams Center CDP, New York: Summary level: 160, state:36> place:00232",625,423,202
"Clintondale CDP, New York: Summary level: 160, state:36> place:16452",582,322,260
"Homer village, New York: Summary level: 160, state:36> place:35276",1330,816,514
"Lake Katrine CDP, New York: Summary level: 160, state:36> place:40585",936,458,478
"Auburn city, New York: Summary level: 160, state:36> place:03078",11607,5519,6088
"Lyon Mountain CDP, New York: Summary level: 160, state:36> place:43951",123,89,34
"Ovid village, New York: Summary level: 160, state:36> place:55816",217,119,98
"Valley Falls village, New York: Summary level: 160, state:36> place:76672",178,127,51
"Solvay village, New York: Summary level: 160, state:36> place:68286",2802,1581,1221
"Ossining village, New York: Summary level: 160, state:36> place:55530",8418,4216,4202
"Sands Point village, New York: Summary level: 160, state:36> place:65035",947,879,68
"Oneida Castle village, New York: Summary level: 160, state:36> place:54848",276,212,64
"East Hampton North CDP, New York: Summary level: 160, state:36> place:22200",1753,1351,402
"Waverly village, New York: Summary level: 160, state:36> place:78806",1702,900,802
"Tupper Lake village, New York: Summary level: 160, state:36> place:75671",1735,1099,636
"Greenport village, New York: Summary level: 160, state:36> place:30576",838,509,329
"Nissequogue village, New York: Summary level: 160, state:36> place:51286",518,508,10
"Windsor village, New York: Summary level: 160, state:36> place:82524",400,295,105
"Hopewell Junction CDP, New York: Summary level: 160, state:36> place:35573",118,98,20
"Leicester village, New York: Summary level: 160, state:36> place:41872",210,144,66
"Barker village, New York: Summary level: 160, state:36> place:04440",215,151,64
"Jefferson Heights CDP, New York: Summary level: 160, state:36> place:38451",424,271,153
"Stamford village, New York: Summary level: 160, state:36> place:70618",579,298,281
"Saltaire village, New York: Summary level: 160, state:36> place:64881",4,2,2
"Fire Island CDP, New York: Summary level: 160, state:36> place:25839",76,67,9
"Cooperstown village, New York: Summary level: 160, state:36> place:18047",882,525,357
"Mechanicville city, New York: Summary level: 160, state:36> place:46360",2310,826,1484
"Floral Park village, New York: Summary level: 160, state:36> place:26264",5706,4510,1196
"Freeport village, New York: Summary level: 160, state:36> place:27485",14021,9406,4615
"Garden City village, New York: Summary level: 160, state:36> place:28178",7365,6990,375
"East Farmingdale CDP, New York: Summary level: 160, state:36> place:21985",1827,1104,723
"East Marion CDP, New York: Summary level: 160, state:36> place:22447",449,364,85
"Glens Falls North CDP, New York: Summary level: 160, state:36> place:29338",3721,2319,1402
"Tannersville village, New York: Summary level: 160, state:36> place:73143",346,203,143
"Painted Post village, New York: Summary level: 160, state:36> place:56088",788,483,305
"Gasport CDP, New York: Summary level: 160, state:36> place:28431",564,332,232
"Lockport city, New York: Summary level: 160, state:36> place:43082",8879,4914,3965
"Pelham Manor village, New York: Summary level: 160, state:36> place:57023",1698,1517,181
